Company Name,uei,award_title,agency,branch,phase,program,agency_tracking_number,contract,proposal_award_date,contract_end_date,solicitation_number,solicitation_year,topic_code,award_year,award_amount,award_link
HOLOCHIP CORP,PLRXAUJRGGT8,LAMA: Localization and Mapping Artificial Intelligence Application,EPA,,Phase I,SBIR,B244A-0010,68HERC24C0018,2023-12-01,2024-05-31,68HERC23R0249,2024.0,4A,2024,100000.0000,208404
HOLOCHIP CORP,PLRXAUJRGGT8,Reconfigurable Augmented Reality Display (RAD) for Close-Air Support,DOD,NAVY,Phase I,SBIR,N222-119-0388,N68335-23-C-0048,2022-11-07,2023-05-09,22.2,2022.0,N222-119,2023,146500.0000,199732
HOLOCHIP CORP,PLRXAUJRGGT8,Automatic Decision Aide,DOD,NAVY,Phase I,SBIR,N221-032-1155,N68335-22-C-0571,2022-07-25,2023-01-28,22.1,2022.0,N221-032,2022,146500.0000,199568
HOLOCHIP CORP,PLRXAUJRGGT8,Lightweight Marinized and Cybersecure Augmented Reality System,DOD,NAVY,Phase II,SBIR,N201-024-1223,N68335-21-C-0373,2021-05-13,2024-07-29,20.1,2020.0,N201-024,2021,1124996.0000,192823
HOLOCHIP CORP,PLRXAUJRGGT8,Tiled Near-Eye Light Field Display,DOD,NAVY,Phase II,SBIR,N192-087-0693,N68335-21-C-0260,2021-01-28,2024-04-24,19.2,2019.0,N192-087,2021,1124997.0000,192712
HOLOCHIP CORP,PLRXAUJRGGT8,Light-Weight Marinized and Cyber-Secure Augmented Reality System,DOD,NAVY,Phase I,SBIR,N201-024-1223,N68335-20-C-0417,2020-04-27,2021-07-29,00.1,,N201-024,2020,239996.0000,184488
HOLOCHIP CORP,PLRXAUJRGGT8,Tiled Near-Eye Light Field Display,DOD,NAVY,Phase I,SBIR,N192-087-0693,N68335-19-C-0703,2019-08-26,2020-02-26,19.2,2019.0,N192-087,2019,139995.0000,178939
HOLOCHIP CORP,PLRXAUJRGGT8,A Holographic and Light-field Processor for Extreme Multi-View Displays,DOD,NAVY,Phase II,SBIR,N171-076-1057,N68335-19-C-0212,2019-01-04,2020-01-07,17.1,2017.0,N171-076,2019,499999.0000,179230
HOLOCHIP CORP,PLRXAUJRGGT8,Variable Accommodation Head Mounted Display,DOD,NAVY,Phase II,SBIR,N121-041-0710a,N68335-18-C-0056,2017-12-22,2022-10-31,12.1,2012.0,N121-041,2018,1699997.0000,173298
HOLOCHIP CORP,PLRXAUJRGGT8,A Holographic and Light-field Processor for Extreme Multi-View Displays,DOD,NAVY,Phase I,SBIR,N171-076-1057,N00178-17-C-1101,2017-08-30,2019-02-15,2017.1,2017.0,N171-076,2017,224999.0000,165807
HOLOCHIP CORP,PLRXAUJRGGT8,Variable-Collimation Display System,DOD,NAVY,Phase II,SBIR,N121-041-0710,N68335-13-C-0231,2013-09-26,2016-11-30,2012.1,2013.0,N121-041,2013,999995.0000,142339
HOLOCHIP CORP,PLRXAUJRGGT8,Transmissive Wide-Angle High-Resolution and Compact Subaperture Imaging System,DOD,USAF,Phase II,STTR,F10B-T35-0205,FA8650-12-C-1472,2012-08-15,,2010.B,2010.0,AF10-BT35,2012,749992.0000,134260
HOLOCHIP CORP,PLRXAUJRGGT8,Dual-Mode Variable-Collimation and Real-Image Display,DOD,NAVY,Phase I,SBIR,N121-041-0710,N68335-12-C-0173,2012-04-05,,2012.1,2012.0,N121-041,2012,149996.0000,137313
HOLOCHIP CORP,PLRXAUJRGGT8,Transmissive Wide-Angle High-Resolution and Compact Subaperture Imaging System,DOD,USAF,Phase I,STTR,F10B-T35-0205,FA8650-11-M-1172,2011-04-29,,2010.B,2010.0,AF10-BT35,2011,99996.0000,130384
HOLOCHIP CORP,PLRXAUJRGGT8,A Large Field-of-View and High-Resolution Camera in a Small Form Factor,DOD,ARMY,Phase I,SBIR,A102-055-1630,W15QKN-11-C-0030,2010-12-28,2011-06-22,2010.2,2010.0,A10-055,2010,69998.0000,2147
HOLOCHIP CORP,PLRXAUJRGGT8,Micro-Actuated Optics for Wide Field-of-View (FOV) Imaging with Random-Access Optical Zoom Capability,DOD,DARPA,Phase II,SBIR,07SB2-0396,W31P4Q-09-C-0372,2009-09-14,2011-12-31,2007.2,2007.0,SB072-025,2009,749988.0000,54123
HOLOCHIP CORP,PLRXAUJRGGT8,A Full-Parallax High-brightness Large-Format Floating-Image Solid-State 3D Display,DOD,USAF,Phase I,SBIR,F083-019-1950,FA8650-09-M-6969,2009-04-20,2010-02-20,2008.3,2008.0,AF083-019,2009,100000.0000,54122
HOLOCHIP CORP,PLRXAUJRGGT8,Micro-Actuated Optics for Wide Field-of-View (FOV) Imaging with Random-Access Optical Zoom Capability,DOD,DARPA,Phase I,SBIR,07SB2-0396,W31P4Q-08-C-0237,2008-03-10,2008-10-29,2007.2,2007.0,SB072-025,2008,99000.0000,54120
HOLOCHIP CORP,PLRXAUJRGGT8,Design and Analysis of Agile Optical-Zoom and Field-of-View Steering Systems for Small-Scale UAV Cameras,DOD,USAF,Phase I,SBIR,F073-075-1081,FA8650-08-M-1330,2008-01-28,2008-10-31,2007.3,2007.0,AF073-075,2008,99999.0000,54121
HOLOCHIP CORP,PLRXAUJRGGT8,LAMA: Localization and Mapping Artificial Intelligence Application,EPA,,Phase II,SBIR,B25P2-4A01,68HERC25C0004,2024-10-16,2026-10-17,68HERC24R0184,2025.0,4A,2025,400000.0000,214938
HOLOCHIP CORP,PLRXAUJRGGT8,Prescription Optical Visor for the M50 Air Purifying Respirator,DOD,CBD,Phase I,SBIR,C233-002-0102,W911SR-24-C-0028,2024-09-05,2025-03-05,23.3,2023.0,CBD233-002,2024,194282.6800,209791
HOLOCHIP CORP,PLRXAUJRGGT8,Multifocal Augmented Reality Visual Informatics System,NASA,,Phase I,SBIR,24Z2031005,80NSSC24PB331,2024-07-31,2025-02-06,SBIR-2024-Phase 1,2024.0,Z2,2024,149999.0000,212358
HOLOCHIP CORP,PLRXAUJRGGT8,Mixed-Reality Off-the-Visor Heads Up Display,DOD,ARMY,Phase I,SBIR,A244-011-0238,W51701-24-C-0185,2024-05-09,2024-11-28,24.4,2024.0,A244-011,2024,249999.7400,209513
HOLOCHIP CORP,PLRXAUJRGGT8,LAMA: Localization and Mapping Artificial Intelligence Application,EPA,,Phase I,SBIR,B244A-0010,68HERC24C0018,2023-12-01,2024-05-31,68HERC23R0249,2024.0,4A,2024,100000.0000,208404
HOLOCHIP CORP,PLRXAUJRGGT8,Reconfigurable Augmented Reality Display (RAD) for Close-Air Support,DOD,NAVY,Phase I,SBIR,N222-119-0388,N68335-23-C-0048,2022-11-07,2023-05-09,22.2,2022.0,N222-119,2023,146500.0000,199732
HOLOCHIP CORP,PLRXAUJRGGT8,Automatic Decision Aide,DOD,NAVY,Phase I,SBIR,N221-032-1155,N68335-22-C-0571,2022-07-25,2023-01-28,22.1,2022.0,N221-032,2022,146500.0000,199568
HOLOCHIP CORP,PLRXAUJRGGT8,Lightweight Marinized and Cybersecure Augmented Reality System,DOD,NAVY,Phase II,SBIR,N201-024-1223,N68335-21-C-0373,2021-05-13,2024-07-29,20.1,2020.0,N201-024,2021,1124996.0000,192823
HOLOCHIP CORP,PLRXAUJRGGT8,Tiled Near-Eye Light Field Display,DOD,NAVY,Phase II,SBIR,N192-087-0693,N68335-21-C-0260,2021-01-28,2024-04-24,19.2,2019.0,N192-087,2021,1124997.0000,192712
HOLOCHIP CORP,PLRXAUJRGGT8,Light-Weight Marinized and Cyber-Secure Augmented Reality System,DOD,NAVY,Phase I,SBIR,N201-024-1223,N68335-20-C-0417,2020-04-27,2021-07-29,00.1,,N201-024,2020,239996.0000,184488
HOLOCHIP CORP,PLRXAUJRGGT8,Tiled Near-Eye Light Field Display,DOD,NAVY,Phase I,SBIR,N192-087-0693,N68335-19-C-0703,2019-08-26,2020-02-26,19.2,2019.0,N192-087,2019,139995.0000,178939
HOLOCHIP CORP,PLRXAUJRGGT8,A Holographic and Light-field Processor for Extreme Multi-View Displays,DOD,NAVY,Phase II,SBIR,N171-076-1057,N68335-19-C-0212,2019-01-04,2020-01-07,17.1,2017.0,N171-076,2019,499999.0000,179230
HOLOCHIP CORP,PLRXAUJRGGT8,Variable Accommodation Head Mounted Display,DOD,NAVY,Phase II,SBIR,N121-041-0710a,N68335-18-C-0056,2017-12-22,2022-10-31,12.1,2012.0,N121-041,2018,1699997.0000,173298
HOLOCHIP CORP,PLRXAUJRGGT8,A Holographic and Light-field Processor for Extreme Multi-View Displays,DOD,NAVY,Phase I,SBIR,N171-076-1057,N00178-17-C-1101,2017-08-30,2019-02-15,2017.1,2017.0,N171-076,2017,224999.0000,165807
HOLOCHIP CORP,PLRXAUJRGGT8,Variable-Collimation Display System,DOD,NAVY,Phase II,SBIR,N121-041-0710,N68335-13-C-0231,2013-09-26,2016-11-30,2012.1,2013.0,N121-041,2013,999995.0000,142339
HOLOCHIP CORP,PLRXAUJRGGT8,Transmissive Wide-Angle High-Resolution and Compact Subaperture Imaging System,DOD,USAF,Phase II,STTR,F10B-T35-0205,FA8650-12-C-1472,2012-08-15,,2010.B,2010.0,AF10-BT35,2012,749992.0000,134260
HOLOCHIP CORP,PLRXAUJRGGT8,Dual-Mode Variable-Collimation and Real-Image Display,DOD,NAVY,Phase I,SBIR,N121-041-0710,N68335-12-C-0173,2012-04-05,,2012.1,2012.0,N121-041,2012,149996.0000,137313
HOLOCHIP CORP,PLRXAUJRGGT8,Transmissive Wide-Angle High-Resolution and Compact Subaperture Imaging System,DOD,USAF,Phase I,STTR,F10B-T35-0205,FA8650-11-M-1172,2011-04-29,,2010.B,2010.0,AF10-BT35,2011,99996.0000,130384
HOLOCHIP CORP,PLRXAUJRGGT8,A Large Field-of-View and High-Resolution Camera in a Small Form Factor,DOD,ARMY,Phase I,SBIR,A102-055-1630,W15QKN-11-C-0030,2010-12-28,2011-06-22,2010.2,2010.0,A10-055,2010,69998.0000,2147
HOLOCHIP CORP,PLRXAUJRGGT8,Micro-Actuated Optics for Wide Field-of-View (FOV) Imaging with Random-Access Optical Zoom Capability,DOD,DARPA,Phase II,SBIR,07SB2-0396,W31P4Q-09-C-0372,2009-09-14,2011-12-31,2007.2,2007.0,SB072-025,2009,749988.0000,54123
HOLOCHIP CORP,PLRXAUJRGGT8,A Full-Parallax High-brightness Large-Format Floating-Image Solid-State 3D Display,DOD,USAF,Phase I,SBIR,F083-019-1950,FA8650-09-M-6969,2009-04-20,2010-02-20,2008.3,2008.0,AF083-019,2009,100000.0000,54122
HOLOCHIP CORP,PLRXAUJRGGT8,Micro-Actuated Optics for Wide Field-of-View (FOV) Imaging with Random-Access Optical Zoom Capability,DOD,DARPA,Phase I,SBIR,07SB2-0396,W31P4Q-08-C-0237,2008-03-10,2008-10-29,2007.2,2007.0,SB072-025,2008,99000.0000,54120
HOLOCHIP CORP,PLRXAUJRGGT8,Design and Analysis of Agile Optical-Zoom and Field-of-View Steering Systems for Small-Scale UAV Cameras,DOD,USAF,Phase I,SBIR,F073-075-1081,FA8650-08-M-1330,2008-01-28,2008-10-31,2007.3,2007.0,AF073-075,2008,99999.0000,54121
HOLOCHIP CORP,PLRXAUJRGGT8,LAMA: Localization and Mapping Artificial Intelligence Application,EPA,,Phase II,SBIR,B25P2-4A01,68HERC25C0004,2024-10-16,2026-10-17,68HERC24R0184,2025.0,4A,2025,400000.0000,214938
HOLOCHIP CORP,PLRXAUJRGGT8,Prescription Optical Visor for the M50 Air Purifying Respirator,DOD,CBD,Phase I,SBIR,C233-002-0102,W911SR-24-C-0028,2024-09-05,2025-03-05,23.3,2023.0,CBD233-002,2024,194282.6800,209791
HOLOCHIP CORP,PLRXAUJRGGT8,Multifocal Augmented Reality Visual Informatics System,NASA,,Phase I,SBIR,24Z2031005,80NSSC24PB331,2024-07-31,2025-02-06,SBIR-2024-Phase 1,2024.0,Z2,2024,149999.0000,212358
HOLOCHIP CORP,PLRXAUJRGGT8,Mixed-Reality Off-the-Visor Heads Up Display,DOD,ARMY,Phase I,SBIR,A244-011-0238,W51701-24-C-0185,2024-05-09,2024-11-28,24.4,2024.0,A244-011,2024,249999.7400,209513
HOLOCHIP CORP,PLRXAUJRGGT8,LAMA: Localization and Mapping Artificial Intelligence Application,EPA,,Phase I,SBIR,B244A-0010,68HERC24C0018,2023-12-01,2024-05-31,68HERC23R0249,2024.0,4A,2024,100000.0000,208404
HOLOCHIP CORP,PLRXAUJRGGT8,Reconfigurable Augmented Reality Display (RAD) for Close-Air Support,DOD,NAVY,Phase I,SBIR,N222-119-0388,N68335-23-C-0048,2022-11-07,2023-05-09,22.2,2022.0,N222-119,2023,146500.0000,199732
HOLOCHIP CORP,PLRXAUJRGGT8,Automatic Decision Aide,DOD,NAVY,Phase I,SBIR,N221-032-1155,N68335-22-C-0571,2022-07-25,2023-01-28,22.1,2022.0,N221-032,2022,146500.0000,199568
HOLOCHIP CORP,PLRXAUJRGGT8,Lightweight Marinized and Cybersecure Augmented Reality System,DOD,NAVY,Phase II,SBIR,N201-024-1223,N68335-21-C-0373,2021-05-13,2024-07-29,20.1,2020.0,N201-024,2021,1124996.0000,192823
HOLOCHIP CORP,PLRXAUJRGGT8,Tiled Near-Eye Light Field Display,DOD,NAVY,Phase II,SBIR,N192-087-0693,N68335-21-C-0260,2021-01-28,2024-04-24,19.2,2019.0,N192-087,2021,1124997.0000,192712
HOLOCHIP CORP,PLRXAUJRGGT8,Light-Weight Marinized and Cyber-Secure Augmented Reality System,DOD,NAVY,Phase I,SBIR,N201-024-1223,N68335-20-C-0417,2020-04-27,2021-07-29,00.1,,N201-024,2020,239996.0000,184488
HOLOCHIP CORP,PLRXAUJRGGT8,Tiled Near-Eye Light Field Display,DOD,NAVY,Phase I,SBIR,N192-087-0693,N68335-19-C-0703,2019-08-26,2020-02-26,19.2,2019.0,N192-087,2019,139995.0000,178939
HOLOCHIP CORP,PLRXAUJRGGT8,A Holographic and Light-field Processor for Extreme Multi-View Displays,DOD,NAVY,Phase II,SBIR,N171-076-1057,N68335-19-C-0212,2019-01-04,2020-01-07,17.1,2017.0,N171-076,2019,499999.0000,179230
HOLOCHIP CORP,PLRXAUJRGGT8,Variable Accommodation Head Mounted Display,DOD,NAVY,Phase II,SBIR,N121-041-0710a,N68335-18-C-0056,2017-12-22,2022-10-31,12.1,2012.0,N121-041,2018,1699997.0000,173298
HOLOCHIP CORP,PLRXAUJRGGT8,A Holographic and Light-field Processor for Extreme Multi-View Displays,DOD,NAVY,Phase I,SBIR,N171-076-1057,N00178-17-C-1101,2017-08-30,2019-02-15,2017.1,2017.0,N171-076,2017,224999.0000,165807
HOLOCHIP CORP,PLRXAUJRGGT8,Variable-Collimation Display System,DOD,NAVY,Phase II,SBIR,N121-041-0710,N68335-13-C-0231,2013-09-26,2016-11-30,2012.1,2013.0,N121-041,2013,999995.0000,142339
HOLOCHIP CORP,PLRXAUJRGGT8,Transmissive Wide-Angle High-Resolution and Compact Subaperture Imaging System,DOD,USAF,Phase II,STTR,F10B-T35-0205,FA8650-12-C-1472,2012-08-15,,2010.B,2010.0,AF10-BT35,2012,749992.0000,134260
HOLOCHIP CORP,PLRXAUJRGGT8,Dual-Mode Variable-Collimation and Real-Image Display,DOD,NAVY,Phase I,SBIR,N121-041-0710,N68335-12-C-0173,2012-04-05,,2012.1,2012.0,N121-041,2012,149996.0000,137313
HOLOCHIP CORP,PLRXAUJRGGT8,Transmissive Wide-Angle High-Resolution and Compact Subaperture Imaging System,DOD,USAF,Phase I,STTR,F10B-T35-0205,FA8650-11-M-1172,2011-04-29,,2010.B,2010.0,AF10-BT35,2011,99996.0000,130384
HOLOCHIP CORP,PLRXAUJRGGT8,A Large Field-of-View and High-Resolution Camera in a Small Form Factor,DOD,ARMY,Phase I,SBIR,A102-055-1630,W15QKN-11-C-0030,2010-12-28,2011-06-22,2010.2,2010.0,A10-055,2010,69998.0000,2147
HOLOCHIP CORP,PLRXAUJRGGT8,Micro-Actuated Optics for Wide Field-of-View (FOV) Imaging with Random-Access Optical Zoom Capability,DOD,DARPA,Phase II,SBIR,07SB2-0396,W31P4Q-09-C-0372,2009-09-14,2011-12-31,2007.2,2007.0,SB072-025,2009,749988.0000,54123
HOLOCHIP CORP,PLRXAUJRGGT8,A Full-Parallax High-brightness Large-Format Floating-Image Solid-State 3D Display,DOD,USAF,Phase I,SBIR,F083-019-1950,FA8650-09-M-6969,2009-04-20,2010-02-20,2008.3,2008.0,AF083-019,2009,100000.0000,54122
HOLOCHIP CORP,PLRXAUJRGGT8,Micro-Actuated Optics for Wide Field-of-View (FOV) Imaging with Random-Access Optical Zoom Capability,DOD,DARPA,Phase I,SBIR,07SB2-0396,W31P4Q-08-C-0237,2008-03-10,2008-10-29,2007.2,2007.0,SB072-025,2008,99000.0000,54120
HOLOCHIP CORP,PLRXAUJRGGT8,Design and Analysis of Agile Optical-Zoom and Field-of-View Steering Systems for Small-Scale UAV Cameras,DOD,USAF,Phase I,SBIR,F073-075-1081,FA8650-08-M-1330,2008-01-28,2008-10-31,2007.3,2007.0,AF073-075,2008,99999.0000,54121
