Title,Release Date,URL,Related Companies,Related Funds,Content,People Mentioned,Organizations Mentioned
Maryland Technology Development Board of Directors Meeting Notice - 5/22/2025 | TEDCO,"Tuesday, May 6, 2025",https://www.tedcomd.com/news-events/press-releases/2025/maryland-technology-development-board-directors-meeting-notice,,,"Tuesday, May 6, 2025 Columbia Maryland Technology Development Board of Directors Meeting Notice NOTICE is hereby given for a Meeting of the TEDCO Board of Directors to be held on May 22, 2025, at 10:00am, on Zoom. MEETING AGENDA May 22, 2025, 10:00 am WHEN: May 22, 2025 | 10:00 AM WHERE: The meeting will be held virtually on Zoom . Meeting ID: 816 9605 0627 Passcode: 392595 AGENDA: CLICK HERE TO VIEW THE FULL AGENDA",Passcode,"Columbia Maryland Technology Development Board of Directors Meeting Notice NOTICE, the TEDCO Board of Directors"
Maryland Stem Cell Research Commission Public Meeting Notice 3/7/22 | TEDCO,"Wednesday, February 23, 2022",https://www.tedcomd.com/news-events/press-releases/2022/maryland-stem-cell-research-commission-public-meeting-notice-3722,,Maryland Stem Cell Research Fund,"Wednesday, February 23, 2022 Columbia * * PUBLIC MEETING NOTICE * * Maryland Stem Cell Research Commission WHAT: The Maryland Stem Cell Research Commission (Commission) will hold a regular meeting on March 7, 2022. The Commission may go into closed session (see note). Established as an independent unit within the Maryland Technology Development Corporation (TEDCO), the Commission has set up criteria, standards and requirements to administer the Maryland Stem Cell Research Fund in accordance with the Maryland Stem Cell Research Act of 2006. The Maryland Stem Cell Research Fund (MSCRF) has been established to promote state-funded stem research. With a $8.2 million budget for FY 2022, the Commission will support grants to public and private entities in the State. For more information about the Maryland Stem Cell Research Fund and a list of Commission members, please visit mscrf.org . NOTE: Due to COVID-19 pandemic, the Commission meeting will be held online using a secure zoom video conference. The Commission may, in open session, follow the required procedures to go into closed session, which will be limited to matters that are permissibly discussed in closed session under the Maryland Open Meetings Act. For more information, please refer to www.oag.state.md.us/opengov/index.htm . WHEN: March 7, 2022 TIME: 2:00 p.m. to 4:00 p.m. WHERE: Maryland Stem Cell Research Fund (MSCRF) has scheduled a Zoom meeting. Register in advance by sending an email for this Secured online Zoom meeting. #     #     #",Zoom,"Commission, Maryland Stem Cell Research Commission, Maryland Stem Cell Research Fund, State, The Maryland Stem Cell Research Commission (Commission, The Maryland Stem Cell Research Fund, the Maryland Open Meetings Act, the Maryland Stem Cell Research Act, the Maryland Stem Cell Research Fund, the Maryland Technology Development Corporation"
TEDCO's Jack Miner Chosen for Leadership Maryland Class of 2022 | TEDCO,"Wednesday, February 23, 2022",https://www.tedcomd.com/news-events/press-releases/2022/tedcos-jack-miner-chosen-leadership-maryland-class-2022,,,"Wednesday, February 23, 2022 Columbia Maryland Technology Development Corp. (TEDCO) Chief Investment Officer and Annapolis resident one of 52 selected for professional development program Annapolis, Md. (February 23, 2022) – Leadership Maryland announced today that Jack Miner , Chief Investment Officer at Maryland Technology Development Corp. ( TEDCO ), has been chosen to participate in the professional development program as a member of the Class of 2022. Miner is one of 52 individuals chosen for Leadership Maryland’s 29th class, who will complete the eight-month, hands-on learning program focused on the state’s most vital issues. The program will run from April to December, and include five, two-day sessions focused on Maryland’s five main geographic regions and the most important issues impacting economic development, education, health and human services, criminal justice, the environment, and multi-culturalism/diversity across the state. More than 100 experts representing Maryland’s business, government, education, and non-profit communities will serve as panelists and guest speakers. Leadership Maryland is open to senior-level executives with significant achievements in either their careers and/or their communities. Ideal Leadership Maryland members have a desire to learn more about Maryland’s most critical issues and a personal commitment to be a force for positive change in their organizations, their communities, and their state. For more information about Leadership Maryland, please visit leadershipmd.org , call 410-841-2101 or email info@leadershipmd.org . About Leadership Maryland Leadership Maryland is a non-profit organization offering professional and youth development programs dedicated to building a better Maryland by harnessing the strength of its current and future leaders. Established in 1992, Leadership Maryland’s professional development program selects as many as 52 diverse and accomplished executives from Maryland’s public and private sectors each year to come together as a class for an eight-month learning program focused on the state’s most vital social, economic and environmental issues. In 2017, Leadership Maryland merged with Maryland Leadership Workshops (MLW), the state’s premier leadership development program for middle and high school students. For more than 65 years, MLW has provided peer-led summer residential and community outreach programs that empower participants – known as delegates – to take ownership of their personal development as they grow in self-awareness, set measurable goals, and collaborate with peers in diverse groups. Together, Leadership Maryland and MLW have established thousands of Marylanders on their lifelong leadership path, equipped with the knowledge, skills, and connections needed to influence positive change in all aspects of their lives and within our state. To learn more, please visit leadershipmd.org or mlw.org. # # #","Annapolis, Jack Miner, Leadership Maryland, Leadership Maryland’s","Columbia Maryland Technology Development Corp., MLW, Maryland Leadership Workshops, Maryland Technology Development Corp."
TEDCO Announces Katherine Hill Ritchie as the Senior Director of Venture Funds | TEDCO,"Monday, February 7, 2022",https://www.tedcomd.com/news-events/press-releases/2022/tedco-announces-katherine-hill-ritchie-senior-director-venture,,Venture Funds,"Monday, February 7, 2022 Columbia Hill Ritchie to oversee investments of up to $2M to qualifying Maryland entrepreneurs COLUMBIA, Md. (February 7, 2022) — TEDCO , Maryland’s economic engine for technology companies, announced today the selection of Katherine Hill Ritchie as the senior director of Venture Funds . Working alongside the TEDCO executive leadership team, Hill Ritchie will focus on helping Maryland entrepreneurs achieve success by building valuable companies that endure. As senior director of TEDCO’s Venture Funds, she will identify and partner with exceptional Maryland entrepreneurs for early-stage capital investments ranging from $500,000 to $2,000,000 per applicant. TEDCO currently manages more than $110 million in Venture Fund assets, and as of 2021, the Funds have generated over 1,600 jobs and over $400 million in revenues. “Adding Katherine to our team further strengthens our goal of growing and diversifying the Maryland entrepreneurial ecosystem. She brings the character, talent, and vision we value here at TEDCO and across the state of Maryland,” said Troy LeMaile-Stovall , TEDCO CEO. Hill Ritchie brings 19 years of finance and investment experience to the position, including her role as a founder of Private Capital Investments, LLC. She is also an early-stage angel investor, a member of Citrine Angels, and is on the investment committee for University Impact, a social impact Venture Capital fund. Katherine is an advisor to several start-ups and focuses on female and diverse founders, technology, medtech, consumer and impact related early-stage venture companies. “Entrepreneurs need to see people across the table they can relate to, including those who are traditionally under-represented in the venture capital industry,” said Jack Miner , TEDCO chief investment officer.  “We are pleased to have Katherine join our team and provide such a great deal of early-stage investment experience to our Maryland ecosystem” ""As someone who grew up in Montgomery County and graduated from the University of Maryland, I am so excited to work with the team to focus on investing in and advancing early-stage innovators in my home state and also championing TEDCO's social impact mission,"" said Hill Ritchie. In addition to running her firm Private Capital Investments, LLC, Hill Ritchie serves as director and board member for the Nottingham Spirk Family Office.  Her past employers include Simon Group Holdings, Eden Capital, PEX Global, and Wedge Alternatives. She spent seven years in Switzerland where she was a managing director at Palladio Alternative Research and senior analyst and investment committee member for the Saad family office’s $3.5 billion investment portfolio. Hill Ritchie received her BS in Psychology from the University of Maryland and her MBA from Fordham University. Her board member activities include chair of the ACG New York Family Office Committee, board member of ACG NY, and Family Office Advisory Board of TriState Capital. Her past philanthropic volunteer activities include global co-chair of The Guild, the Philanthropy and Education Committees of 100 Women in Finance, and Fordham MBA Overseers Board. To listen to the recent interview with Hill Ritchie on TEDCO’s Venture Talks series, visit https://youtu.be/7g3f-5L30Xk .","Guild, Hill Ritchie, Jack Miner, Katherine, Katherine Hill Ritchie, Saad","ACG NY, COLUMBIA, Citrine Angels, Eden Capital, Family Office Advisory Board, Fordham MBA Overseers Board, Fordham University, Funds, Katherine, LLC, PEX Global, Palladio Alternative Research, Philanthropy, Private Capital Investments, Simon Group Holdings, TEDCO, TEDCO’s Venture Funds, TriState Capital, Troy LeMaile-Stovall, University Impact, Venture Capital, Venture Fund, Venture Funds, Wedge Alternatives, the ACG New York Family Office Committee, the Nottingham Spirk Family Office, the University of Maryland"
"TEDCO Portfolio Company, TRX Systems, Acquired by ACR Group | TEDCO","Monday, January 24, 2022",https://www.tedcomd.com/news-events/press-releases/2022/tedco-portfolio-company-trx-systems-acquired-acr-group,,Venture Funds,"Monday, January 24, 2022 Columbia TRX Systems delivers Assured Position, Navigation, and Timing Technologies COLUMBIA, Md. (January 24, 2022) — TEDCO , Maryland’s economic engine for technology companies, announced today one of its Maryland Venture Fund (MVF) portfolio companies, TRX Systems (TRX), was acquired by ACR Group . Headquartered in Greenbelt, Maryland, TRX Systems is the developer of NEON® GPS-denied location solutions and the TRX Dismounted Assured Position, Navigation, and Timing (PNT) System (TRX DAPS). The company specializes in cutting-edge technologies and solutions that provide resilient and trusted position and time in environments where GPS is challenged, degraded, or denied. ""TEDCO was one of the earliest investors in TRX and their involvement went well beyond funding – they also connected us into Maryland’s technology ecosystem,” said Carol Teolis, CTO and co-founder of TRX Systems. “TEDCO’s early funding and guidance helped our startup get off the ground and accelerated our path to success. I encourage other Maryland-based STEM companies to explore potential opportunities with TEDCO just as we did.” TRX recently announced it was selected by the U.S. Army to deliver a Dismounted Assured Positioning, Navigation and Timing (PNT) System (DAPS). The TRX DAPS solution uses a lightweight, soldier-worn device to enable dismounted warfighters to successfully conduct operations when operating in GPS challenged, degraded, or denied environments. “Here at TEDCO, we are always looking to invest in companies with exceptional teams and innovative technologies so they can build businesses that last. The acquisition of TRX Systems by the ACR Group is a testament to the strength of TRX’s leadership and vision, and we are glad TEDCO was there with that initial investment and support,” said Jack Miner , chief investment officer at TEDCO. TEDCO invested in TRX Systems in 2008 and completed a follow-on investment in 2012. TEDCO’s early-stage, venture capital funds are dedicated to funding and growing the next generation of outstanding technology-based businesses in the state. TEDCO’s early stage investing goal is to make meaningful allocations into venture trajectory businesses, serving as their first institutional partners. In 2012, TRX was a recipient of TEDCO’s two-year Joint Technology Transfer Initiative (JTTI) , a congressionally funded program which provided grants to small businesses developing technology to meet the needs of DHS S&T and/or USAMRMC. TRX was also a winner of TEDCO’s ICE Awards for Corporate Excellence in 2013 . “We’re proud that TEDCO played an important early role in the TRX success story, and look forward to more such successes with a variety of entrepreneurs, including those traditionally underrepresented in their fields,” said Troy LeMaile-Stovall , TEDCO CEO. For more information on the TRX Systems suite of location, mapping, and timing solutions, go to https://www.trxsystems.com/ . ACR Group develops satellite-based tracking, data communications, and emergency location products and services used across military and defense, aviation, marine, and outdoor markets. For more information on the ACR Group beacons, SATCOM, and other safety, location, and navigation equipment, visit https://www.acrartex.com/ . TEDCO provides funding, resources and connections that early-stage technology and life sciences companies need to thrive in Maryland. For entrepreneurs interested in applying for TEDCO funding opportunities, visit https://www.tedcomd.com/funding .","Carol Teolis, Jack Miner, Navigation","ACR Group, CTO, DHS S&T, JTTI, Joint Technology Transfer Initiative, Maryland Venture Fund, Navigation, PNT, STEM, TEDCO’s ICE Awards for Corporate Excellence, TRX Systems, Timing Technologies, Troy LeMaile-Stovall, USAMRMC, the ACR Group, the U.S. Army"
TEDCO Board of Directors Public Meeting Notice 1/20/2022 | TEDCO,"Monday, January 17, 2022",https://www.tedcomd.com/news-events/press-releases/2022/tedco-board-directors-public-meeting-notice-1202022,,,"Monday, January 17, 2022 Columbia * * PUBLIC MEETING NOTICE * * WHAT: The Maryland Technology Development Corporation (TEDCO) will host a meeting of the board of directors. TEDCO is governed by its board, which is appointed by the Governor for four-year terms with the consent of the Maryland State Senate. All TEDCO board members are residents of the state and represent the nonprofit research sector, venture capital financing, technology-based businesses, the general public and colleges or universities. WHEN: Thursday, January 20, 2022 TIME: 10 a.m. to 1 p.m. WHERE: Zoom ###",,"Senate, The Maryland Technology Development Corporation"
TEDCO’s Maryland Venture Fund Invests $500K in Maryland Technology Start-up | TEDCO,"Wednesday, January 12, 2022",https://www.tedcomd.com/news-events/press-releases/2022/tedcos-maryland-venture-fund-invests-500k-maryland-technology-start,,Venture Funds,"Wednesday, January 12, 2022 Columbia Transformania is a Software as a Service (SaaS) with a data quality solution for Customer Relationship Management (CRM) software COLUMBIA, Md. (January 12, 2022) — TEDCO , Maryland’s economic engine for technology companies, announced today its Maryland Venture Fund (MVF) invested $500K in Transformania . TEDCO’s MVF is an early-stage, venture capital fund dedicated to funding and growing the next generation of outstanding technology-based businesses in the state. With the goal of making meaningful investments into venture trajectory businesses as their first institutional partners. “We continue to focus on investing in high impact technology solutions to drive innovation in the state,” said Jack Miner , chief investment officer, TEDCO. “We look forward to seeing the long-term impact Tranformania will have on our community and economy.” Per the website, Transformania , based in North Bethesda, Md., is a business-to-business SaaS company that offers an innovative data quality solution for boosting the productivity and ROI of any customer relationship management system (CRM). Its flagship platform of the same name uses Artificial Intelligence, Natural Language Processing and patent-pending processes to dramatically improve the accuracy and quality of contact data maintained in any CRM or email platform, such as Salesforce, Hubspot, Microsoft Dynamics and MailChimp. “We’re excited to receive backing from TEDCO as our very first source of seed funding,” said Matt Siegal, founder and CEO of Transformania. “As we quickly become an indispensable extension to all CRMs for improving engagement and ROI of marketing campaigns, TEDCO’s early support of our technology and go-to market strategy is an important boost for our success.” TEDCO provides funding, resources and connections that early-stage technology and life sciences companies need to thrive in Maryland. For entrepreneurs interested in applying for TEDCO funding opportunities, visit https://www.tedcomd.com/funding .","Columbia Transformania, Jack Miner, Matt Siegal","Artificial Intelligence, Natural Language Processing, Customer Relationship Management, MailChimp, Maryland Venture Fund, Microsoft Dynamics, Salesforce, Software"
TEDCO’s Chief Investment Officer Launches Venture Talks | TEDCO,"Tuesday, January 11, 2022",https://www.tedcomd.com/news-events/press-releases/2022/tedcos-chief-investment-officer-launches-venture-talks,,Development & Marketing,"Tuesday, January 11, 2022 Columbia A new virtual investment discussion series COLUMBIA, Md. (January 11, 2021) — TEDCO , Maryland’s economic engine for technology companies, announced today the launch of a new video series, TEDCO Venture Talks, featuring entrepreneurs, prominent investors and tech industry leaders from across the State of Maryland and beyond. TEDCO’s chief investment officer, Jack Miner , conducts thought-provoking conversations with regional leaders discussing the future of Maryland’s investment ecosystem. The videos follow a “fireside chat” format and cover a full range of topics, such as startup funding, venture and angel investment strategies, trending technologies, and critical issues such as diversity and ESG (environmental, social and governance) investing. The new programming comes at the right time: in just the first nine months of this year, VCs in the US produced a record-setting haul of $96 billion across 526 funds, topping the $85.8 billion raised for 665 funds in all of 2020, according to the latest PitchBook-NVCA Venture Monitor . 1 “Investing in transformative technology is a team sport and there are a lot of great teams to learn from,” said Miner. “Whether an entrepreneur, investor, or strategic partner, everyone has an impact on the overall investment. These conversations will be our platform to learn and support new growth for our Maryland innovation startups.” In these engaging discussions, Miner talks to leaders from a variety of organizations—including venture capital firms, angel investors, business chambers, and technology councils—about the startup ecosystem and learn how the people behind the capital make decisions. Among others, featured guests include: Ray Leach , CEO of JumpStart, Inc. Josh Makower , Professor of Medicine & Bioengineering, Director & Co-Founder, Stanford Byers Center for Biodesign at Stanford University School of Medicine Special Partner, New Enterprise Associates (NEA) Founder & Exec Chairman, ExploraMed David Brophy , Director, University of Michigan Center for Private Equity and Venture Capital “In this record-breaking year for venture capital, we hope that TEDCO Venture Talks listeners—from startups to funders—will gain insights and lessons from well-established VCs, entrepreneurs and other leading technology experts through these free video chats,” said Tammi Thomas , TEDCO’s chief marketing and communications officer and Executive Producer of TEDCO Venture Talks. TEDCO Venture Talks can be viewed on the YouTube channel at www.youtube.com/MDTEDCO. New videos will be added on a regular basis so check frequently for updates. 1 https://pitchbook.com/news/articles/2021-us-vc-fundraising-exits-deal-flow-charts","ExploraMed David Brophy, Jack Miner, Josh Makower, Miner, Ray Leach, Tammi Thomas","Director & Co-Founder, ESG, JumpStart, Medicine & Bioengineering, NEA) Founder & Exec, New Enterprise Associates, PitchBook-NVCA Venture Monitor, Stanford Byers Center for Biodesign, Stanford University School of Medicine Special Partner, University of Michigan Center for Private Equity and Venture Capital, YouTube"
"Arti Santhanam, Ph.D. Graduates from Leadership Maryland | TEDCO","Monday, January 10, 2022",https://www.tedcomd.com/news-events/press-releases/2022/arti-santhanam-phd-graduates-leadership-maryland,,Maryland Innovation Initiative,"Monday, January 10, 2022 Annapolis Executive Director of TEDCO’s Maryland Innovation Initiative and Ellicott City resident recognized at December 7 ceremony Annapolis, Md. (January 10, 2022) – Leadership Maryland announced that Arti Santhanam, Ph.D. , Executive Director, Maryland Innovation Initiative at Maryland Technology Development Corp. (TEDCO) , has completed the professional development program dedicated to building a better Maryland by harnessing the strength of its local business and community leaders. Leadership Maryland honored Santhanam, a resident of Ellicott City, and the entire Class of 2021 at its 28th annual graduation ceremony held December 7, 2021, at the Hilton Baltimore BWI Airport. Santhanam was one of 49 applicants chosen by committee to complete Leadership Maryland’s eight-month hands-on learning program. The class participated in an orientation and closing retreat that bookended five, two-day sessions focused on Maryland’s five main geographic regions and the most vital issues impacting economic development, education, health and human services, criminal justice, the environment, and multi-culturalism/diversity across the state. The class was originally selected as the Class of 2020 but was postponed one year due to the COVID-19 pandemic. “With the events of the past two years, our communities greatly need connectedness, shared vision, and resilient leadership, which makes our mission of empowering a diverse network of local leaders more important than ever,” said Renée M. Winsky ‘05, president and Chief Executive Officer, Leadership Maryland. “With the understanding, connections, and clarity of purpose gained from their program experience, the 49 members of the Class of 2021 are now better poised to make a positive impact, and we look forward to seeing all they’ll accomplish for our state.” Leadership Maryland is open to senior-level executives with significant achievements in either their careers and/or their communities. Ideal Leadership Maryland members have a desire to learn more about Maryland’s most critical issues and a personal commitment to be a force for positive change in their organizations, their communities, and their state. For more information about Leadership Maryland, please visit www.LeadershipMD.org , call 410-841-2101 or email Info@LeadershipMD.org . About Leadership Maryland Leadership Maryland is a professional development program dedicated to building a better Maryland by harnessing the strength of its local business and community leaders. Each year, as many as 52 diverse and accomplished executives from Maryland’s public and private sectors are selected to come together as a class for an eight-month hands-on learning program focused on the state’s most vital social, economic and environmental issues. The first Leadership Maryland class graduated in 1993, and the organization’s alumni network now consists of more than 1,300 leaders from all industries and regions of the state. To learn more, please call Leadership Maryland at 410-841-2101 or visit www.LeadershipMD.org . Media Contact: Lindsay Hebert Devaney & Associates 410-296-0800 lhebert@devaney.net","Arti Santhanam, Leadership Maryland, Leadership Maryland’s, Lindsay Hebert Devaney & Associates, Renée M. Winsky ‘","Annapolis Executive, COVID-19, Info@LeadershipMD.org, Maryland Innovation Initiative, Maryland Technology Development Corp., TEDCO’s, www.LeadershipMD.org"
Maryland Innovation Initiative Public Meeting Notice 1/13/22 | TEDCO,"Wednesday, January 5, 2022",https://www.tedcomd.com/news-events/press-releases/2022/maryland-innovation-initiative-public-meeting-notice-11322,,Maryland Innovation Initiative,"Wednesday, January 5, 2022 Columbia * * PUBLIC MEETING NOTICE * * Maryland Innovation Initiative WHAT: The Maryland Technology Development Corporation (TEDCO) will host a meeting of the board of directors of the Maryland Innovation Initiative (MII). Created by the General Assembly and administered by TEDCO, the MII promotes the commercialization of research conducted in five qualifying Maryland universities. The initiative encourages universities to partner on commercialization proposals, strategies and funding sources. The MII program facilitates technology transfer from university labs to start-up companies and boosts economic development in Maryland. NOTE: The MII board of directors may, in open session, follow the required procedures to go into closed session, which will be limited to matters that are permissibly discussed in closed session under the Maryland Open Meetings Act. For more information, please refer to www.oag.state.md.us/opengov/index.htm . WHEN: Thursday, January 13, 2022 TIME: 1:30 p.m. to 4:30 p.m. WHERE: Microsoft Teams: https://teams.microsoft.com/l/meetup-join/19%3ameeting_Mjc4NDk1NzUtZGFiMS00Mzk5LWI0NjAtYmU0NDIwZWMzMTUz%40thread.v2/0?context=%7b%22Tid%22%3a%22762e43db-a81a-4ee1-a96d-a1aff0cb44f5%22%2c%22Oid%22%3a%22eabc3e60-d913-4844-bf31-e3e9ac0226e4%22%7d DIRECTIONS: Visit https://www.tedcomd.com/contact-us for directions. #     #     #",,"MII, Microsoft Teams, The Maryland Technology Development Corporation, the General Assembly, the Maryland Innovation Initiative, the Maryland Open Meetings Act"
Maryland Stem Cell Research Commission Public Meeting Notice 1/10/22 | TEDCO,"Tuesday, January 4, 2022",https://www.tedcomd.com/news-events/press-releases/2022/maryland-stem-cell-research-commission-public-meeting-notice-11022,,Maryland Stem Cell Research Fund,"Tuesday, January 4, 2022 Columbia * * PUBLIC MEETING NOTICE * * Maryland Stem Cell Research Commission WHAT: The Maryland Stem Cell Research Commission (Commission) will hold a regular meeting on January 10, 2022. The Commission may go into closed session (see note). Established as an independent unit within the Maryland Technology Development Corporation (TEDCO), the Commission has set up criteria, standards and requirements to administer the Maryland Stem Cell Research Fund in accordance with the Maryland Stem Cell Research Act of 2006. The Maryland Stem Cell Research Fund (MSCRF) has been established to promote state-funded stem research. With a $8.2 million budget for FY 2022, the Commission will support grants to public and private entities in the State. For more information about the Maryland Stem Cell Research Fund and a list of Commission members, please visit mscrf.org . NOTE: Due to COVID-19 pandemic, the Commission meeting will be held online using a secure zoom video conference. The Commission may, in open session, follow the required procedures to go into closed session, which will be limited to matters that are permissibly discussed in closed session under the Maryland Open Meetings Act. For more information, please refer to www.oag.state.md.us/opengov/index.htm . WHEN: January 10, 2022 TIME: 2:00 p.m. to 4:00 p.m. WHERE: Maryland Stem Cell Research Fund (MSCRF) has scheduled a Zoom meeting. Register in advance by sending an email for this Secured online Zoom meeting. #     #     #",Zoom,"Commission, Maryland Stem Cell Research Commission, Maryland Stem Cell Research Fund, State, The Maryland Stem Cell Research Commission (Commission, The Maryland Stem Cell Research Fund, the Maryland Open Meetings Act, the Maryland Stem Cell Research Act, the Maryland Stem Cell Research Fund, the Maryland Technology Development Corporation"
TEDCO Announces Elizabeth Good Mazhari as DEI Advisor | TEDCO,"Monday, December 13, 2021",https://www.tedcomd.com/news-events/press-releases/2021/tedco-announces-elizabeth-good-mazhari-dei-advisor,,Equal Access Initiative,"Monday, December 13, 2021 Columbia COLUMBIA, Md. (December 13, 2021) — TEDCO , Maryland’s economic engine for technology companies, announced today the selection of Elizabeth Good Mazhari as the new Diversity, Equity and Inclusion (DEI) advisor for the organization. As DEI Advisor, Mazhari joins the TEDCO Executive Leadership Team and will be developing and implementing DEI strategy that includes short-term and long-term goals and metrics for the following four areas: Administration, Talent Management, Programs and Funding. Within this role, Mazhari will develop tools, policies and programs that will enable TEDCO to track its progress and deliver an inclusive and equitable TEDCO experience for internal and external stakeholders. She brings more than 25 years of academic, government and private sector experience to the new role. “The addition of the DEI Advisor to our Leadership team very much aligns with TEDCO’s core values of accountability, collaboration, respect, integrity and stewardship,” said Troy LeMaile-Stovall , TEDCO CEO. “We are committed to creating a culture of belonging here at TEDCO, and embracing and leveraging differences both within our organization and with the many businesses we mentor, fund and support. We know that a real commitment to diversity and inclusion benefits not only our employees, organization and partners, but the greater economy as well.” Research from Korn Ferry and others shows the many benefits of effective diversity and inclusion practices. Diverse and inclusive teams are shown to make better decisions 87% of the time, are 70% more likely to capture new markets, and are 76% more likely to see ideas become productized. 1 The new DEI Advisor role will further strengthen TEDCO’s vision of becoming a national leader in supporting and funding/investing in companies founded and/or led by under-represented innovators and entrepreneurs, while providing an exceptional work environment and enhanced organizational results. To ensure the sustainability and continuous progression of the initiatives from the DEI Advisor role, there is not a set timeline for the term of this position. The challenges facing underrepresented technology innovators and entrepreneurs will not be fixed overnight, thus requiring long term attention and solutions to the problems. “I am honored to be entrusted with the new DEI Advisor role and to support the organization in strengthening its long-term focus on enhancing its DEI practices,” said Mazhari. “It’s never too late to start taking action and making the necessary changes to encourage a positive impact both within the organization and on the community.” 1 https://www.kornferry.com/insights/featured-topics/diversity-equity-inclusion/guide-to-dei-in-the-workplace","DEI Advisor, Elizabeth Good Mazhari, Korn Ferry, Leadership, Mazhari","DEI, DEI Advisor, Diversity, Equity and Inclusion, Mazhari, Talent Management, Programs and Funding, Troy LeMaile-Stovall, the DEI Advisor"
"TEDCO Announces Selection of Managed IT Service Provider, Advancement Strategy Consulting | TEDCO","Tuesday, December 7, 2021",https://www.tedcomd.com/news-events/press-releases/2021/tedco-announces-selection-managed-it-service-provider-advancement,,,"Tuesday, December 7, 2021 Columbia a Maryland-certified minority business enterprise and SBA-certified disadvantaged business COLUMBIA, Md. (December 7, 2021)— TEDCO , Maryland’s economic engine for technology companies, announced today it has selected Advancement Strategy Consulting (Advancement Strategy) to provide managed information technology (IT) services. Advancement Strategy is a pioneering consulting company that provides services in IT, data, policy, and strategy to clients that positively impact the world. “We’re looking forward to working with a well-established business, right here in our state,” said Terry Rauh , TEDCO’s chief operating officer. “Advancement Strategy has an impressive portfolio and innovative ideas, and we anticipate this collaboration enhancing our cyber security, data governance, and efficiency to manage applications in an increasingly hybrid and multi-cloud world.” Advancement Strategy is a management and technology consulting firm providing impactful solutions to business and IT challenges. Advancement Strategy’s team of industry veterans provides IT and data governance strategy, data engineering and advanced analytics among other services. A certified Maryland MBE and SBA 8(a) firm, Advancement Strategy provides solutions from decades of executive experience, and it has continued success with Fortune 500 companies and large government agencies. “We are ecstatic about helping TEDCO achieve its vision,” said Frederick McCullough, Advancement Strategy’s CEO. “TEDCO is a vital agent providing financing and innovation in Maryland’s technology economy. Advancement Strategy looks forward to providing technology infrastructure support and strategy as TEDCO’s Managed Services Provider (MSP), which in turn will contribute to the vibrance of the entrepreneurial community and job growth in Maryland.” TEDCO sent out a Request for Proposals (RFP) for a Managed IT Service Provider in September 2021. The scope of the RFP was to find a service provider which would consolidate the organization’s management of IT services under one qualified firm to support the entire IT environment. Advancement Strategy is expected to conduct a full IT assessment and develop a long-term strategy for managing enhanced infrastructure and security to meet industry standards.","Frederick McCullough, Terry Rauh","Advancement Strategy, Advancement Strategy Consulting, Advancement Strategy’s, COLUMBIA, MSP, Maryland MBE, SBA, TEDCO’s Managed Services Provider"
Maryland Venture Fund Authority Public Meeting Notice 12/1/2021 | TEDCO,"Monday, November 29, 2021",https://www.tedcomd.com/news-events/press-releases/2021/maryland-venture-fund-authority-public-meeting-notice-1212021,,,"Monday, November 29, 2021 Columbia * * PUBLIC MEETING NOTICE * * Maryland Venture Fund Authority WHAT: The Maryland Technology Development Corporation (TEDCO) will host a meeting of the Maryland Venture Fund Authority. NOTE: The Maryland Venture Fund Authority may, in open session, follow the required procedures to go into closed session, which will be limited to matters that are permissibly discussed in closed session under the Maryland Open Meetings Act. For more information, please refer to www.oag.state.md.us/opengov/index.htm . WHEN: December 1, 2021 TIME: 9:00 - 11:00 a.m. WHERE: https://us02web.zoom.us/j/87892570497?pwd=WGZHMExvbHZkdEJhdWlXNmFkdk83dz09",https://us02web.zoom.us/j/87892570497?pwd=WGZHMExvbHZkdEJhdWlXNmFkdk83dz09,"Maryland Venture Fund Authority, The Maryland Technology Development Corporation, The Maryland Venture Fund Authority, the Maryland Open Meetings Act, the Maryland Venture Fund Authority"
