keyword,legal_name,num_uei,cage,physical_address,mailing_address,entity_url,start_date,contact1,contact2,congressional_district,state_country_incorporation,match
"N5 Sensors, Inc.",N5 SENSORS INC,DPHWXD86RNS4,6NMY3,"9605 Medical CTR DR,STE 200,Rockville, Maryland,20850-6359, United States","9605 Medical Center DR STE 200,Rockville, Maryland,20850-6356, United States",http://www.n5sensors.com/,"Jan 26, 2012",Abhishek Motayed,Abhishek Motayed,Maryland 08,"Maryland, United States",1
UCleaner L.L.C.,UCLEANER L.L.C.,PP19DXAKLRD4,9WZY4,"6751 Columbia Gateway DR STE 300,Columbia, Maryland,21046-3138, United States","1405 S Fern ST,#524,Arlington, Virginia,22202, United States",,"Aug 3, 2022",Sam Choe,Sam Choe,Maryland 03,"Virginia, United States",1
Alirtify,ALIRTIFY LLC,XUBEZ7SEAEN9,99RS4,"118 N Market ST,Frederick, Maryland,21701-6621, United States","219 Harpers WAY,Frederick, Maryland,21702-3097, United States",https://alirtify.com/,"Feb 7, 2019",Kwabena Okrah,Kwabena Okrah,Maryland 06,"Maryland, United States",1
PrecNA LLC,"PRECNA, LLC",YS3CA2D413F5,97WS7,"14724 Latakia PL,North Potomac, Maryland,20878-2545, United States","14724 Latakia Place,North Potomac, Maryland,20878-2545, United States",https://www.precna.com/,"Jun 24, 2021",Michael Gaitan,Michael Gaitan,Maryland 08,"Maryland, United States",1
NanoBiofab,"TAO TREASURES, LLC",E1Y9Z246LAU8,7T6V7,"8906 Remington PL,Frederick, Maryland,21701-7636, United States","8906 Remington PL,Frederick, Maryland,21701-7636, United States",,"May 30, 2015",Xiaonao Liu,Xiaonao Liu,Maryland 06,"Maryland, United States",1
"Ambay Immune Sensors and Controls, LLC","AMBAY IMMUNE SENSORS AND CONTROLS, LLC",YJKMSJL1EJ75,59LH5,"20140 Scholar DR STE 118,Hagerstown, Maryland,21742-6548, United States","20140 Scholar DR STE 118,Hagerstown, Maryland,21742-6548, United States",,"Jan 22, 2008",Meena Chandok,Meena Chandok,Maryland 06,"Maryland, United States",1
"X-wave Innovations, Inc","X-WAVE INNOVATIONS, INC.",EDJ3MSJR9NK7,6FUX9,"555 Quince Orchard RD STE 510,Gaithersburg, Maryland,20878-1464, United States","555 Quince Orchard RD,STE 510,Gaithersburg, Maryland,20878-1464, United States",http://www.x-waveinnovations.com/,"Aug 4, 2009",JENNIFER DUAN,DAN XIANG,Maryland 06,"Maryland, United States",1
Sanchez Engineering Services,MICHAEL SANCHEZ,E29EATQDWF96,8D6K2,"1195 Stoney Creek RD,Bedford, Virginia,24523-5194, United States","1195 Stoney Creek RD,Bedford, Virginia,24523-5194, United States",https://www.sanchezeng.com/,"Jan 2, 2017","Michael D Sanchez, Owner","Michael D Sanchez, Owner",Virginia 09,"Virginia, United States",1
Lasarrus Clinic and Research Center,LASARRUS CLINIC AND RESEARCH CENTER INC,DD7BUVZK2EN8,6XZ47,"634 Kittendale CIR,Baltimore, Maryland,21220-2330, United States","634 Kittendale CIR,Baltimore, Maryland,21220-2330, United States",https://www.lasarrus.com/,"Jun 27, 2013","Lloyd Emokpae, Dr.","Lloyd Emokpae, Dr.",Maryland 02,"Maryland, United States",1
"Kick Robotics, LLC",KICK ROBOTICS LLC,FUNBPPKNAA52,8QHJ4,"4806 Westway DR,Bethesda, Maryland,20816-1726, United States","4806 Westway DR,Bethesda, Maryland,20816-1726, United States",https://www.kickrobotics.com/,"Aug 3, 2020",Johnny Crupi,Johnny P Crupi,Maryland 08,"Maryland, United States",1
"InfraTrac, Inc.",INFRATRAC INC,SYELB4K7LDE8,551B9,"20140 Scholar DR STE 118,Hagerstown, Maryland,21742-6548, United States","20140 Scholar DR STE 118,Hagerstown, Maryland,21742-6548, United States",http://www.infratrac.com/,"Aug 29, 2006","SHARON FLANK, Dr.","Jon Schupp, General Manager",Maryland 06,"Delaware, United States",1
"Auxergen, Inc.",AUXERGEN INC,NMGCN8XX49C7,8LXF6,"701 E Pratt ST,STE 4011,Baltimore, Maryland,21202-3183, United States","701 E Pratt ST STE 4011,Baltimore, Maryland,21202-3183, United States",https://auxergen.com/,"Jul 22, 2015","Gregory P Contreras, CEO","Gregory P Contreras, CEO",Maryland 07,"Delaware, United States",1
Advanced Biomimetic Sensors,"ADVANCED BIOMIMETIC SENSORS, INC.",K36KSVKVEMM6,4GA16,"6710A Rockledge DR STE 400 Unit 405,Bethesda, Maryland,20817-2847, United States","6710A Rockledge DR Suite 400,Unit 405,Bethesda, Maryland,20817-2847, United States",http://www.abs-isensors.com/,"Jun 12, 2006","ELLEN T chen, President","ELLEN T chen, President",Maryland 08,"Maryland, United States",1
"Adloris, ltd","ADLORIS FOUNDATION, INC",F8GLQL7QZ8H3,7GGA5,"755 80TH ST S,Birmingham, Alabama,35206-3933, United States","711 W 40TH ST STE 153,101,Baltimore, Maryland,21211, United States",https://www.adloris.org/,"Jan 11, 2013",Adler Archer,Adler Archer,Alabama 07,"Pennsylvania, United States",1
PZA innovation LLC,PZA INNOVATION LLC,FNB4LENH6JW7,8RX88,"403 Far Hills CT,Towson, Maryland,21286-7319, United States","403 Far Hills CT,Towson, Maryland,21286, United States",,"Oct 16, 2020",Wanliang Shi,Wanliang Shi,Maryland 02,"Maryland, United States",1
SpringGem Weather Information,SPRINGGEM WEATHER INFORMATION LLC,FFFNG83J2BB8,848Q0,"10804 Tuckahoe WAY,North Potomac, Maryland,20878-4295, United States","10804 Tuckahoe WAY,North Potomac, Maryland,20878-4295, United States",http://www.sg-weather.com/,"Mar 17, 2017","Menglin S Jin, ceo","Menglin S Jin, ceo",Maryland 08,"Maryland, United States",1
"Drakeford, Scott, & Associates LLC","DRAKEFORD, SCOTT, & ASSOCIATES, LLC",V8YFMSSK77N8,8AEX8,"15340 Palmer RD,Marston, North Carolina,28363-8310, United States","6409 Fayetteville ST #120-129,Durham, North Carolina,27713-7806, United States",http://www.drakefordassociates.org/,"Jun 25, 2007","Derrick Drakeford, Dr.",DERRICK DRAKEFORD,North Carolina 09,"North Carolina, United States",1
"Intraderm, LLC","INTRADERM, LLC",M3USP5FEM621,7RXQ4,"2657G Annapolis RD STE 107,Hanover, Maryland,21076-1262, United States","2657G Annapolis RD STE 107,Hanover, Maryland,21076-1262, United States",,"Mar 27, 2012","Melanie L Adams, Owner","Melanie L Adams, Owner",Maryland 03,"Maryland, United States",1
DeepMirror Inc.,DEEPMIRROR LTD,NVAPN3SRGMN4,U1KD2,"86-90 Paul Street,86-90 Paul Street,London,EC2A 4NE, United Kingdom","86-90 Paul Street,86-90 Paul Street,London,EC2A 4NE, United Kingdom",,"Aug 1, 2019",Max Jakobs,Max Jakobs,Not Applicable,,1
Integrated Pharma Services,"INTEGRATED PHARMA SERVICES, LLC",VCPJA4KNKQ54,82Z65,"4 Research CT STE 100,Rockville, Maryland,20850-3854, United States","4 Research CT.,Suite 100,Rockville, Maryland,20850-3854, United States",https://www.integratedpharmaservices.com/,"Mar 1, 2018","Mina Izadjoo, President","Mina Izadjoo, President",Maryland 08,"Maryland, United States",1
Epsilon Innovation Group Inc.,EPSILON INNOVATION GROUP INC,ML66M68KB839,6SVJ6,"11343 Baroque RD,Silver Spring, Maryland,20901-5014, United States","455 Massachusetts AVE NW #165,Washington Dc, District Of Columbia,20001, United States",,"Jun 14, 2012",Asmerom M Gilau,Asmerom Gilau,Maryland 08,"Maryland, United States",1
Carbon Lockdown,CARBON LOCKDOWN PROJECT BENEFIT LLC,KVWPFSBJWC78,,"8408 Galveston Road,Silver Spring, Maryland,20910-5306, United States","8408 Galveston Road,Silver Spring, Maryland,20910-5306, United States",,"May 18, 2022",Ning Zeng,Ning Zeng,Maryland 08,"Maryland, United States",1
You Heal With Horticulture,YOU HEAL WITH HORTICULTURE LLC,RFGGXKD7RT17,9U2U8,"330 S Morris ST,APT M,Snow Hill, Maryland,21863-1134, United States","330 S Morris ST,M,Snow Hill, Maryland,21863-1134, United States",,"Jul 19, 2018","Ebony Jenkins, Owner","Ebony Jenkins, Owner",Maryland 01,"Maryland, United States",1
Error Corp.,ERROR CORP.,UAQADPJ23Q97,93KS0,"4405 E West HWY,STE 410,Bethesda, Maryland,20814-4535, United States","4405 East West HWY,Suite 410,Bethesda, Maryland,20814-4522, United States",,"Feb 7, 2020",Dennis Lucarelli,Dennis Lucarelli,Maryland 08,"Delaware, United States",1
"Act2End, LLC",ACT2END LLC,X8E8G4KQVSD3,9H7B7,"1190 West Northern Parkway,APT 910,Baltimore, Maryland,21210-1458, United States","1190 West Northern Parkway,APT 910,Baltimore, Maryland,21210, United States",https://www.act2endcoaching.com/,"May 16, 2022","Diandra Poe, Dr.","Diandra Poe, Dr.",Maryland 02,"Maryland, United States",1
Ballmecca Inc.,BALLMECCA INC.,DLPVMSGG4KJ7,9FWX3,"4709 Harford Road #163,Baltimore, Maryland,21214-3261, United States","4709 Harford Road #163,Baltimore, Maryland,21214-3261, United States",https://ballmecca.com/,"Oct 1, 2022","Enmanuel Madera, CEO","Enmanuel Madera, CEO",Maryland 07,"Delaware, United States",1
Alchemity,"ALCHEMITY, L.L.C.",E8SLCK31N8M8,,"9469 Lovat RD,Fulton, Maryland,20759-9638, United States","9469 Lovat RD,Fulton, Maryland,20759-9638, United States",https://alchemity.tech/,"Aug 19, 2021","Eric Wachsman, Executive Chair","Eric Wachsman, Executive Chair",Maryland 03,"Maryland, United States",1
QubitSolve Inc.,QUBITSOLVE INC.,R7ATY9SFJ241,9D5F4,"781 Chestnut Ridge RD STE 1000,Morgantown, West Virginia,26505-0013, United States","2006 White Oak DR,Morgantown, West Virginia,26505, United States",https://www.qubitsolve.com/,"May 4, 2022","Madhava Syamlal, CEO","Madhava Syamlal, CEO",West Virginia 02,"Delaware, United States",1
CooperSoft,COOPERSOFT INC.,VCZ1ANBRUTX5,42MZ4,"3407 Dunwood Crossing DR,Bowie, Maryland,20721-1266, United States","3407 Dunwood Crossing DR.,Bowie, Maryland,20721-1266, United States",http://www.coopersoft.com/,"Jul 29, 2005","JEFFREY Cooper, CEO","JEFFREY Cooper, CEO",Maryland 05,"Maryland, United States",1
Sustainabli,"SUSTAINABLI, LLC",R8MNZ353X632,,"6449 River Run,Columbia, Maryland,21044-6022, United States","6449 River Run,Columbia, Maryland,21044, United States",https://sustainabli.org/,"May 3, 2023",Kevin J Tu,Kevin J Tu,Maryland 03,"Maryland, United States",1
XpeRience Science,XPERIENCE SCIENCE LLC,ZG1ESGHLVBY7,9K5P5,"1114 Many LN,Bel Air, Maryland,21014-2588, United States","317 Amore Lane,APT L,Bel Air, Maryland,21015, United States",https://xperiencesci.com/,"Jun 9, 2022","Jared B DeCoste, Dr.","Jared B DeCoste, Dr.",Maryland 01,"Maryland, United States",1
Precision Neuroscopics,PRECISION NEUROSCOPICS LLC,M9A9DK34GNN7,82VR1,"4620 Henry ST,Pittsburgh, Pennsylvania,15213-3715, United States","4620 Henry ST,Pittsburgh, Pennsylvania,15213-3715, United States",http://www.precisionneuroscopics.com/,"Dec 8, 2015",Shawn K Kelly,Shawn K Kelly,Pennsylvania 12,"Pennsylvania, United States",1
"NextStep Robotics, Inc.","NEXTSTEP ROBOTICS, INC.",F896MG5LQ6R4,7VBK2,"800 W Baltimore ST,STE 151,Baltimore, Maryland,21201-1158, United States","800 W Baltimore ST,Suite 151,Baltimore, Maryland,21201, United States",https://www.nextsteprobo.com/,"Feb 2, 2017",Bradley Hennessie,Bradley Hennessie,Maryland 07,"Maryland, United States",1
"Scaled Microbiomics, LLC",SCALED MICROBIOMICS LLC,RXBHU5F1N5B8,7YHN1,"706 Morningside AVE,Hagerstown, Maryland,21740-5071, United States","706 Morningside AVE,Hagerstown, Maryland,21740-5071, United States",,"Feb 14, 2017",Julius G Goepp,Julius G Goepp,Maryland 06,"Maryland, United States",1
Sorbenta,SORBENTA INC,JBJ7EF1MD9P1,,"107 E Poplar AVE,Carrboro, North Carolina,27510-1709, United States","1710 E Franklin ST Num 1129,Chapel Hill, North Carolina,27514, United States",,"Aug 29, 2022",Irene Harmody,Orlando Coronell Nieto,North Carolina 04,"North Carolina, United States",1
Gloria Zhang,"ASCENDING, INC.",N2VULU7Z6JY5,8KV57,"2751 Prosperity AVE STE 240,Fairfax, Virginia,22031-4342, United States","2751 Prosperity AVE,STE 240,Fairfax, Virginia,22031, United States",https://www.ascendingdc.com/,"Jul 16, 2018","Gloria Zhang, V.P., Operations","Gloria Zhang, V.P., Operations",Virginia 11,"Virginia, United States",1
Organizing4Innovation,ORGANIZING FOR INNOVATION LLC,C3LNZMNKLUG7,76YA1,"1481 John Tyler HWY,Williamsburg, Virginia,23185-7604, United States","4680-18I Monticello AVE,Pmb # 157,Williamsburg, Virginia,23188, United States",https://www.organizing4innovation.com/,"Dec 10, 2013",Floor Blindenbach,FLORIENA P BLINDENBACH-DRIESSEN,Virginia 01,"Virginia, United States",1
CRANENANO LLC,CRANENANO LLC,G36EXUPQXAG6,8GTL0,"31 Orchard DR,Gaithersburg, Maryland,20878-2225, United States","31 Orchard DR,Gaithersburg, Maryland,20878-2225, United States",,"Feb 26, 2016","MICHAEL T KIO, FOUNDER","MICHAEL T KIO, FOUNDER",Maryland 06,"Maryland, United States",1
Silvec Biologics,"SILVEC BIOLOGICS, INC",ZH7KBVHXP1C3,8LAV6,"200 Girard ST STE 200,Gaithersburg, Maryland,20877-3490, United States","200 Girard ST STE 200,Gaithersburg, Maryland,20877-3490, United States",https://www.silvec.com/,"Sep 12, 2019","Rafael Simon, president","Rafael Simon, president",Maryland 06,"Delaware, United States",1
HighT-Tech LLC,"HIGHT-TECH, INC",WVBEBKJZULX5,8JY00,"4467 Technology Drive Suite 3104,College Park, Maryland,20742-0001, United States","4467 Technology Drive Suite 3104,College Park, Maryland,20742, United States",https://www.hight-tech.com/,"Mar 5, 2020","Yunhui Gong, CTO","Yunhui Gong, CTO",Maryland 04,"Delaware, United States",1
ACTIVECharge,ACTIVECHARGE LLC,KY1QMG9XBHZ9,8EFD0,"1450 S Rolling RD,Halethorpe, Maryland,21227-3863, United States","1450 S Rolling RD,Halethorpe, Maryland,21227, United States",https://activecharge.us/,"Oct 31, 2018",Pranay Kohli,Pranay Kohli,Maryland 07,"Delaware, United States",1
Blimp Logistics,BLIMP LOGISTICS INC,FPN6NRF65AS1,8RL81,"9011 Gettysburg LN,College Park, Maryland,20740-4017, United States","9011 Gettysburg LN,College Park, Maryland,20740-4017, United States",https://blimplogistics.com/,"Aug 11, 2020","Camilo B Melnyk, CEO","Camilo B Melnyk, CEO",Maryland 04,"Maryland, United States",1
Virtual Apprentice,VIRTUAL APPRENTICE LLC,MM2US7CH16A7,8E4T9,"1 Research CT,STE 450,Rockville, Maryland,20850-6252, United States","1 Research CT STE 450,Rockville, Maryland,20850-6252, United States",https://www.virtualapprentice.net/,"Jul 11, 2019","Ellie Giles, Dr","Ellie Giles, Founder",Maryland 08,"Maryland, United States",1
Astek Diagnostics Inc.,ASTEK DIAGNOSTICS INC.,DWMKQ81LJLW1,8QMK0,"1450 S Rolling RD STE 3.019,Halethorpe, Maryland,21227-3863, United States","1450 S Rolling RD STE 3.019,Halethorpe, Maryland,21227-3863, United States",https://astekdx.com/,"May 27, 2021","Mustafa M Al-Adhami, CEO","Mustafa M Al-Adhami, CEO",Maryland 07,"Maryland, United States",1
"Djit Medtech, Inc.","DJIT MEDTECH, INC.",KU2RRLE13PT7,9FMQ2,"1628 Bolton ST,Baltimore, Maryland,21217-5496, United States","1628 Bolton Street,Baltimore, Maryland,21217-5496, United States",https://djit-medtech.com/,"Jul 11, 2022","Marcia Hart, CEO","Marcia Hart, CEO",Maryland 07,"Maryland, United States",1
Tri-IT Solutions,"TRI-IT SOLUTIONS, LLC",YLNASL261GA3,6H4F6,"10003 Marriottsville RD,Randallstown, Maryland,21133-1501, United States","Marian (DEE) Cutler,PO Box 283,Woodstock, Maryland,21163-1201, United States",https://www.tri-itsolutions.com/,"Mar 25, 2011","Marian (Dee) Cutler, CEO","Marian (Dee) Cutler, CEO",Maryland 02,"Maryland, United States",1
"Weinberg Medical Physics, Inc.","WEINBERG MEDICAL PHYSICS, INC.",K5D7EN4J1FR7,504Z8,"12156 Parklawn DR,Rockville, Maryland,20852-1708, United States","12156 Parklawn Drive,North Bethesda, Maryland,20852-1708, United States",https://www.weinbergmedicalphysics.com/,"Feb 22, 2008",IRVING WEINBERG,Irving Weinberg,Maryland 08,"Delaware, United States",1
"SentiMetrix, Inc","SENTIMETRIX, INC.",QC8LYF3ND8A4,513B0,"6017 Southport DR,Bethesda, Maryland,20814-1847, United States","6017 Southport Drive,Bethesda, Maryland,20814-1847, United States",http://www.sentimetrix.com/,"Nov 28, 2006","VADIM KAGAN, Mr.","VADIM KAGAN, Mr.",Maryland 08,"Maryland, United States",1
Scinetics,"SCINETICS, INC.",MWCXWZ6LWMF9,6WHS7,"2915 Islay CT,Abingdon, Maryland,21009-3140, United States","2915 Islay CT,Abingdon, Maryland,21009-3140, United States",https://www.scineticsinc.com/,"May 4, 2018","Amy E. Gair, COO","Jeffrey L Gair, CEO",Maryland 01,"Maryland, United States",1
getGFTD,GETGFTD LLC,EB41AXEK57W3,9H9S6,"7101 Rich Hill RD,Baltimore, Maryland,21212-1623, United States","7101 Rich Hill Road,Baltimore, Maryland,21212, United States",,"Jan 1, 2019","Nina Guise-Gerrity, CEO","Nina Guise-Gerrity, CEO",Maryland 02,"Maryland, United States",1
P3D Energy,"PRN ASSOCIATES, INCORPORATED",S69ZMP9NM5U9,3BXG8,"7601 E 88TH PLACE, #5,Indianapolis, Indiana,46256-1299, United States","7601 E 88TH PLACE, #5,Indianapolis, Indiana,46256-1299, United States",,,,,,,0
P3D Energy,EASTERN GATEWAY COMMUNITY COLLEGE,F5WDD45CME36,0NGM8,"110 John Scott HWY,Steubenville, Ohio,43952-3000, United States","110 John Scott Highway,Steubenville, Ohio,43952, United States",,,,,,,0
P3D Energy,"SPECIAL COMMUNICATIONS, LLC",JXZVBZ8FZJL6,1QQG2,"2838 Croix CT,Virginia Beach, Virginia,23451-1365, United States","2838 Croix CT,Virginia Beach, Virginia,23451-1365, United States",,,,,,,0
P3D Energy,JOURMIK LLC,ZYPETGFPAXN9,93S35,"13-53 Sunnyside DR,Fair Lawn, New Jersey,07410-4237, United States","13-53 Sunnyside DR,Fair Lawn, New Jersey,07410-4237, United States",,,,,,,0
P3D Energy,"ORRS' ENVIRONMENTAL, LLC",M1LHWD15KHJ6,301F8,"7027 Old Madison Pike NW STE 108,Huntsville, Alabama,35806, United States","P.O. Box 21192,Huntsville, Alabama,35813, United States",,,,,,,0
JCB,,,,"1241 SALEM PARK CT,MURFREESBORO, TN,37129-3343, USA",,,,,,,,0
"Quantum Sensor Technologies, LLC","QUANTUM SENSOR TECHNOLOGIES, LLC",PWTULSNA3WW5,9WYS3,"6401 Enchanted Solitude PL,Columbia, Maryland,21044-6024, United States","6401 Enchanted Solitude PL,Columbia, Maryland,21044-6024, United States",,"Feb 12, 2024",Birol Ozturk,Birol Ozturk,"Maryland, United States",Maryland 03,0
ReflectAR,MIMOCLOUD INC,KS8VTNJSQ1D6,66K86,"9304 Belle Terre WAY,Potomac, Maryland,20854-4642, United States","9304 Belle Terre WAY,Potomac, Maryland,20854-4642, United States",,"Sep 4, 2010","Tejbir S Phool, Mr.","Tejbir S Phool, Mr.","Delaware, United States",Maryland 08,0
Zenith Data Solutions LLC,ZENITH DATA SOLUTIONS LLC,YJ8WB14NXM79,06V34,"20454 Summersong LN,Germantown, Maryland,20874-3937, United States","20454 Summersong LN,Germantown, Maryland,20874, United States",,"Jul 18, 2024",Sina Faridimehr,Ashkan Zakaryazad,"Maryland, United States",Maryland 06,0
"OcuFLOW, Inc","OCUFLOW, INC.",MDBGZK1ZT3H5,846H1,"2401 W Belvedere AVE STE 312,Baltimore, Maryland,21215-5216, United States","12020 Deer Bit Lane,Glen Arm, Maryland,21057-9107, United States",,"Sep 28, 2016","Theresa R Kramer, President, CEO/CMO","Theresa R Kramer, President, CEO/CMO","Delaware, United States",Maryland 07,0
"InovCares Connected Comprehensive Healthcare, LLC",INOVCARES CONNECTED COMPREHENSIVE HEALTHCARE CORPORATION,DSWGNNZEKSK3,9AL96,"1517 Huntington LN,Cleveland Heights, Ohio,44118-1534, United States","1517 Huntington LN,Cleveland Heights, Ohio,44118, United States",https://www.inovcares.com/,"Oct 27, 2023","Mohamed A Kamara, CEO","Mohamed A Kamara, CEO","Delaware, United States",Ohio 11,0
Hyve,DIGITAL HYVE MARKETING LLC,MDALPWACEZY4,8S6J8,"126 N Salina ST STE 500,Syracuse, New York,13202-1061, United States","126 N Salina ST STE 500,Syracuse, New York,13202-1061, United States",https://www.digitalhyve.com/,"Jul 15, 2014","Sarah Tackabury, VP, Managing Director","Sarah Tackabury, VP, Managing Director","New York, United States",New York 24,0
Hyve,HYVE INNOVATE GMBH,LB6SWHSLM6X3,CNE11,"SCHELLINGSTR. 45,München,80799, Germany","Schellingstrasse 45,Munich,80799, Germany",https://www.hyve.net/,"Aug 10, 2004","Niclas Kroeger, Operations Lead",Gerd Schwarz,"(blank), Germany",Not Applicable,0
"InfraTrac, Inc.",ATLANTIC INFRATRAC LLC,SHH5WDJHX7J1,81QV9,"5042 Industrial RD STE A,Wall Township, New Jersey,07727-4024, United States","5042 Industrial RD STE A,Wall Township, New Jersey,07727-4024, United States",,"Nov 18, 2011","Marilyn Grabowski, Managing Member","Marilyn Grabowski, Managing Member","New Jersey, United States",New Jersey 04,0
Lightwork Publishing LLC,LIGHTWORK PUBLISHING LLC,H4TDZGHLH5U6,9ZK59,"690 Custis ST,Aberdeen, Maryland,21001-3008, United States","1013 Beards Hill RD,STE 198,Aberdeen, Maryland,21001-2293, United States",https://www.lightworkenterprise.com/,"Mar 3, 2020","Shannon E Collins, Mrs.","Gregory A Collins, Mr.","Maryland, United States",Maryland 01,0
MEC,MEC-TRIC CONTROL COMPANY,RHTUWNEMJVU6,2M419,"4110 Monroe RD,Charlotte, North Carolina,28205-7708, United States","4110 Monroe RD,Charlotte, North Carolina,28205-1918, United States",https://mec-tric.com/,"Jan 1, 1960","Monica Blackwelder, Accounting","DONNA Lowry, Sales","North Carolina, United States",North Carolina 14,0
Marc Cohen,"ERGONOMETRIX, LLC",EJ8MDDGZE2Q5,7MUA5,"6000 Executive BLVD STE 602,Rockville, Maryland,20852-3820, United States","6000 Executive BLVD STE 602,Rockville, Maryland,20852-3820, United States",,"Mar 25, 2015",Marc Cohen,Marc Cohen,"Maryland, United States",Maryland 08,0
Marc Cohen,"MARC A. COHEN, M.D., A PROFESSIONAL CORPORATION",DA1DSMABRDV7,7VC47,"333 S Beverly DR,STE 200,Beverly Hills, California,90212-4304, United States","333 S. Beverly Drive,Suite 200,Beverly Hills, California,90212, United States",,"Jan 27, 2007","Marc Cohen, Dr.","Marc Cohen, Dr.","California, United States",California 36,0
Marc Cohen,ENTERPRISE CLEANING CORPORATION,XGVAK9PVERZ3,6MTA7,"340 Main ST STE 777,Worcester, Massachusetts,01608-1606, United States","75 Main Street,Boylston, Massachusetts,01505, United States",,"Jan 1, 2003",LINDA GARVEY,MARC COHEN,"Massachusetts, United States",Massachusetts 02,0
Marc Cohen,KIDS KICKING CANCER INC,DRENR9AB1SD4,37GS5,"27600 Northwestern HWY,STE 220,Southfield, Michigan,48034-8448, United States","27600 Northwestern HWY STE 220,Southfield, Michigan,48034-8448, United States",,"Nov 3, 1999","Elimelech Goldberg, Rabbi",RABBI GOLDBERG,"Michigan, United States",Michigan 12,0
James Parker,"MONMOUTH DAY CARE CENTER, INC.",L4A3JX47DGS5,5NM23,"9 Drs James Parker BLVD,Red Bank, New Jersey,07701-1503, United States","9 DRS. James Parker BLVD.,Red Bank, New Jersey,07701-1503, United States",,"Oct 1, 1969","MONMOUTH DAY CARE CENTER, INC. Quezada, Executive Director","MONMOUTH DAY CARE CENTER, INC. Quezada","New Jersey, United States",New Jersey 06,0
James Parker,MONMOUTH INTERNET CORP,E68LGSWH6US8,98K01,"10 Drs James Parker BLVD STE 110,Red Bank, New Jersey,07701-1500, United States","10 Drs James Parker BLVD STE 110,Suite 110,Red Bank, New Jersey,07701-1500, United States",https://www.monmouth.com/,"Jul 1, 2000","Belinda Hill, Accounting","Belinda Hill, Accounting","New Jersey, United States",New Jersey 06,0
James Parker,LUNCH BREAK,L3VRTV6SKA79,9XYZ5,"121 Drs James Parker BLVD,Red Bank, New Jersey,07701-1441, United States","121 Drs James Parker BLVD,Red Bank, New Jersey,07701-1441, United States",,"Mar 7, 1983",Wayne Greer,Wayne Greer,"New Jersey, United States",New Jersey 06,0
CaMelia,YOUTH AND FAMILY OUTREACH,EZH6BNC6RZ95,(blank),"331 Cumberland AVE,Portland, Maine,04101-2957, United States","331 Cumberland AVE.,Portland, Maine,04101-2957, United States",https://www.yfoutreachme.org/,"Jan 1, 1979","Camelia Babson-Haley, Executive Director","Camelia Babson-Haley, Executive Director","Maine, United States",Maine 01,0
CaMelia,CHANGE CONQUERS INC.,HVGEZBRHTLZ3,9DZR7,"87 Orlando Drive,Sicklerville, New Jersey,08081-4492, United States","525 Route 73 North,STE 104,Marlton, New Jersey,08053, United States",,"Mar 17, 2022",CAMELIA J VIERA,CAMELIA J VIERA,"New Jersey, United States",New Jersey 01,0
CaMelia,RIVERSIDE FARMS PARTNERSHIP,FRHTTM1HA9Q9,76PT4,"98 Pleasant Grove RD,Sardis, Mississippi,38666-2616, United States","98 Pleasant Grove RD,Sardis, Mississippi,38666-2616, United States",,"Feb 1, 1985","Camelia K Lott, BKPR","Camelia K Lott, BKPR","Mississippi, United States",Mississippi 02,0
CaMelia,GETMONEYFORTHECULTURE LLC,TF49YW1KH2L8,9XSL6,"6461 Privette RD Lot 99,Wendell, North Carolina,27591-9260, United States","6461 Privette RD Lot 99,Wendell, North Carolina,27591-9260, United States",,"Apr 22, 2022",Camelia Alston,Camelia Alston,"North Carolina, United States",North Carolina 02,0
GlykonDesign,DIVERSIFIED CLEANING SERVICES,G87DKCK76RJ7,5PWC6,"3302 Boston AVE,Pascagoula, Mississippi,39581-4243, United States","3302 Boston AVE,Pascagoula, Mississippi,39581-4243, United States",,"Sep 16, 2007","CAMELIA DOMIO, Owner","CAMELIA DOMIO, Owner","Mississippi, United States",Mississippi 04,0
GlykonDesign,"STRAUGHN, CAMELIA",TTJGY7L3DSC8,74Y34,"3801 Duckhorn DR #818,Sacramento, California,95834-1082, United States","3801 Duckhorn DR #818,Sacramento, California,95834, United States",,"Jan 1, 2010",CAMELIA A STRAUGHN,CAMELIA A STRAUGHN,"California, United States",California 06,0
GlykonDesign,LEGION FOR HOPE INCORPORATED,JMBEXHSNSQA6,68N49,"2220 Johnson Creek DR,Lithonia, Georgia,30058-5183, United States","2220 Johnson Creek Drive,Lithonia, Georgia,30058-5183, United States",http://www.legionforhope.org/,"Oct 12, 2009","CAMELIA DOUGLAS B DOUGLAS, DIRECTOR","CAMELIA DOUGLAS, DIRECTOR","Georgia, United States",Georgia 04,0
GlykonDesign,"MORRIS PARK DISTRICT MANAGEMENT ASSOCIATION, INC.",FQLSB7RYFAP7,8QGK4,"966 Morris Park AVE,Bronx, New York,10462-3715, United States","966 Morris Park AVE,Bronx, New York,10462-3715, United States",,"Jul 1, 2018",CAMELIA TEPELUS,Camelia Tepelus,"New York, United States",New York 14,0
MACER,GIFFORD BIOSCIENCE LIMITED,S5NXYF5SE3S1,U1N81,"The Biohub Birmingham,Birmingham Research Park,Birmingham,B15 2SQ, United Kingdom","The Biohub Birmingham,Birmingham Research Park,Birmingham,B15 2SQ, United Kingdom",https://www.giffordbioscience.com/,"Feb 6, 2017","Macer Gifford, Mr","Macer Gifford, Mr","(blank), United Kingdom",Not Applicable,0
