keyword,sam_company_name,sam_website,match,sam_physical_address_street,sam_physical_address_city,sam_physical_address_state,sam_physical_address_zipcode,sam_mailing_address_street,sam_mailing_address_city,sam_mailing_address_state,sam_mailing_address_zipcode,sam_incorp_year,sam_contacts,sf_company_name,sf_full_name,sf_street,sf_city,sf_state,sf_country,sf_zipcode,sf_website,sf_incorporation_year,ms_company_name_fuzzy_score,ms_website_fuzzy_score,ms_incorp_year_fuzzy_score,ms_street_fuzzy_score_physical,ms_street_fuzzy_score_mailing,ms_city_fuzzy_score_physical,ms_city_fuzzy_score_mailing,ms_state_fuzzy_score_physical,ms_state_fuzzy_score_mailing,ms_zipcode_fuzzy_score_physical,ms_zipcode_fuzzy_score_mailing,highest_fuzzy_score
"PediaMetrix, Inc",PEDIAMETRIX INC.,,1,,,,,155 Gibbs ST STE 537,Rockville,Maryland,20850,2018,"['Fereshteh Aalamifar', 'Reza Seifabadi']","PediaMetrix, Inc","['Reza Seifabadi', 'Fereshteh Aalamifar']",155 Gibbs St Unit 537,Rockville,Maryland,United States,20850-0393,https://www.pediametrix.com,2019,93.75,6.666666666666665,0,0.0,87.8048780487805,0.0,100.0,0.0,100.0,0.0,66.66666666666667,100.0
"Rhizome, LLC",RHIZOME DATA INC,https://www.rhizomedata.com/,1,,,,,,,,,2022,"['Mishal Thadani', 'Mishal Thadani']","Rhizome, LLC",['Aubrey Villalobos'],311 N St Sw,Washington,District of Columbia,United States,20024-2903,https://consultrhizome.com,2019,64.28571428571428,70.37037037037037,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.0
Scanogen Inc,SCANOGEN INC.,http://www.scanogen.com/,1,,,,,,,,,2012,"['ALFREDO CELEDON', 'ALFREDO CELEDON']",Scanogen Inc,['Saravana Murthy'],3102 Lord Baltimore Dr,Baltimore,Maryland,United States,21244 2881,,2011,96.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.35294117647058
SeeHear LLC,SEEHEAR LLC,https://seehear.us/,1,1716 N Danville ST,Arlington,Virginia,22201,1716 N Danville ST,Arlington,Virginia,22201,2013,"['Silvio Eberhardt', 'Silvio Eberhardt']",SeeHear LLC,['Silvio Eberhardt'],1716 N Danville St,Arlington,Virginia,United States,22201-4034,https://seehear.us/accounts/home/,2013,100.0,73.07692307692308,0,100.0,100.0,100.0,100.0,100.0,100.0,66.66666666666667,66.66666666666667,100.0
"SmartBridge, Inc.","SMARTBRIDGE, LLC",https://smartbridge.com/,1,2050 W Sam Houston PKWY S STE 1425,Houston,Texas,77042,2050 W Sam Houston PKWY S STE 1425,Houston,Texas,77042,2003,"['Brooke Browne', 'Deepthi Raju']","SmartBridge, Inc.",['Hua Wang'],400 Cameron Station Blvd,Alexandria,Virginia,United States,22304-8218,https://www.smartbridgehealth.com/,,84.84848484848484,82.75862068965517,0,37.93103448275862,37.93103448275862,11.764705882352944,11.764705882352944,15.384615384615385,15.384615384615385,40.0,40.0,84.84848484848484
"Stocastic, LLC",STOCASTIC LLC,https://www.stocastic.com/,1,629 S Belnord AVE,Baltimore,Maryland,21224,629 S Belnord AVE,Baltimore,Maryland,21224,2015,"['Eric Hamrock', 'Eric Hamrock']","Stocastic, LLC",['Eric Hamrock'],101 N Haven St Ste 301,Baltimore,Maryland,United States,21224-1634,www.stocastic.com,2015,96.2962962962963,79.06976744186046,0,30.76923076923077,30.76923076923077,100.0,100.0,100.0,100.0,66.66666666666667,66.66666666666667,100.0
Advancing Synergy,"ADVANCING SYNERGY, LLC",https://www.advancingsynergy.com/,1,12155 Pond Pine DR,Clarksburg,Maryland,20871,12155 Pond Pine Drive,Clarksburg,Maryland,20871,2009,"['ARTI VARANASI', 'ARTI VARANASI']",Advancing Synergy,"['Arti Varanasi', 'Susan Prince']",12155 Pond Pine Dr,Clarksburg,Maryland,United States,20871-4475,https://advancingsynergy.com,2009,87.17948717948718,91.80327868852459,0,100.0,92.3076923076923,100.0,100.0,100.0,100.0,66.66666666666667,66.66666666666667,100.0
Nostopharma LLC,NOSTOPHARMA LLC,,1,7600 Coddle Harbor LN,Potomac,Maryland,20854,7600 Coddle Harbor LN,Potomac,Maryland,20854,2016,"['Jelena Jeremic', 'Jelena Jeremic']",Nostopharma LLC,['Jelena Jeremic'],,,,United States,,https://nostopharma.com/,2016,100.0,14.814814814814813,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
Microsphere Material Solutions LLC,MICROSPHERE MATERIAL SOLUTIONS LLC,https://www.microspheresolutions.com/,1,7226 Old Gate RD,Rockville,Maryland,20852,7226 Old Gate RD,Rockville,Maryland,20852,2016,"['Matthew DeMay', 'Avi Edery']",Microsphere Material Solutions LLC,['John Howard'],7226 Old Gate Rd,Rockville,Maryland,United States,20852 4414,https://www.linkedin.com/company/microsphere-material-solutions/about/,2016,100.0,63.55140186915889,0,100.0,100.0,100.0,100.0,100.0,100.0,66.66666666666667,66.66666666666667,100.0
Ion Storage Systems,"ION STORAGE SYSTEMS, INC.",https://ionstoragesystems.com/,1,12500 Baltimore AVE STE D,Beltsville,Maryland,20705,12500 Baltimore AVE STE D,Beltsville,Maryland,20705,2019,"['Benjamin Chiu', 'Gregory Hitz']",Ion Storage Systems,['Greg Hitz'],12500 Baltimore Ave,Beltsville,Maryland,United States,20705 6353,https://ionstoragesystems.com,2019,86.36363636363636,98.30508474576271,0,86.36363636363636,86.36363636363636,100.0,100.0,100.0,100.0,66.66666666666667,66.66666666666667,100.0
"Trench Therapeutics, Inc","TRENCH THERAPEUTICS, INC.",,1,16 Aliso WAY,Portola Valley,California,94028,16 Aliso WAY,Portola Valley,California,94028,2020,"['Paul Conley', 'Paul Conley']","Trench Therapeutics, Inc",['Cindy Liu'],16 Aliso Way,Portola Valley,California,United States,94028,https://www.trenchtx.com,2020,97.95918367346938,7.4074074074074066,0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,83.01886792452831
True Bearing Diagnostics,TRUE BEARING DIAGNOSTICS INC,https://www.truebearingdiagnostics.com/,1,2450 Virginia AVE NW APT E117,Washington,District Of Columbia,20037,,,,,2017,"['Tisha Jepson', 'Tisha Jepson']",True Bearing Diagnostics,['Tisha Jepson'],2450 Vrgnia Ave Nw Apt E1,Washington,District of Columbia,United States,20037,https://truebearingdiagnostics.com/,2017,92.3076923076923,94.5945945945946,0,92.5925925925926,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0
Word of Mouth Technologies Inc,WORD OF MOUTH TECHNOLOGIES INC.,,1,3960 Spencer ST,Las Vegas,Nevada,89119,2664 West Park DR,Baltimore,Maryland,21207,2020,"['Margaret Smith', 'Margaret Smith']",Word of Mouth Technologies Inc,['Margaret Smith'],2664 West Park Drive,Woodlawn,Maryland,United States,21207,www.womtinc.com,2021,98.36065573770492,11.111111111111116,0,34.285714285714285,91.89189189189189,23.529411764705888,11.764705882352944,28.57142857142857,100.0,19.999999999999996,100.0,100.0
ReflectAR,REFLECTAR LLC,,1,5817 Solway ST,Pittsburgh,Pennsylvania,15217,5817 Solway ST,Pittsburgh,Pennsylvania,15217,2024,"['Fernando la', 'Francisco Vicente']",ReflectAR,['Francisco Vicente Carrasco'],,,,United States,,,,81.81818181818181,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
AI SENSE,AI SENSE LLC,,1,3995 College AVE,Ellicott City,Maryland,21043,,,,,2024,"['Bipendra Basnyat', 'Bipendra Basnyat']",AI SENSE,['Bipendra Basnyat'],,,,United States,,,2024,80.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
Green Mechanics Benefit LLC,GREEN MECHANICS BENEFIT LLC,https://greenmechanics.co/,1,115 Centerway,Greenbelt,Maryland,20770,3947 Nemo Road,Randallstown,Maryland,20770,2019,"['Larry Davis', 'Larry Davis']",Green Mechanics Benefit LLC,['Larry Davis'],,,,United States,,greenmechanics.co,5,100.0,79.06976744186046,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
Illuminate Therapeutics,"ILLUMINATE THERAPEUTICS, INC.",,1,16 Aliso WAY,Portola Valley,California,94028,16 Aliso WAY,Portola Valley,California,94028,2022,"['Elizabeth Berezovsky', 'Don Arnold']",Illuminate Therapeutics,['Brianna Vickerman'],,,,United States,,,,88.46153846153845,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
New Integration Photonics,NEW INTEGRATION PHOTONICS,,1,5301 Dorset AVE,Chevy Chase,Maryland,20815,5301 Dorset AVE,Chevy Chase,Maryland,20815,2004,"['Mario Dagenais', 'Mario Dagenais']",New Integration Photonics,['Yang Zhang'],,,,United States,,,,100.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
"N5 Sensors, Inc.",N5 SENSORS INC,http://www.n5sensors.com/,1,,,,,9605 Medical Center DR STE 200,Rockville,Maryland,20850,2012,"['Abhishek Motayed', 'Abhishek Motayed']","N5 Sensors, Inc.","['Abhishek Motayed', 'Jonathan George']",9610 Med Ctr Dr Ste 200,Rockville,Maryland,United States,20850,www.n5sensors.com,2012,93.33333333333333,80.95238095238095,0,0.0,83.01886792452831,0.0,100.0,0.0,100.0,0.0,100.0,100.0
UCleaner L.L.C.,UCLEANER L.L.C.,,1,6751 Columbia Gateway DR STE 300,Columbia,Maryland,21046,,,,,2022,"['Sam Choe', 'Sam Choe']",UCleaner L.L.C.,"['Robert Choe', 'Sam Choe', 'Sam Choe']",1405 South Fern Street #524,Arlington,Virginia,United States,22202,https://ucleaner.com,2022,100.0,17.391304347826086,0,40.67796610169492,0.0,23.529411764705888,0.0,25.0,0.0,40.0,0.0,100.0
Alirtify,ALIRTIFY LLC,https://alirtify.com/,1,118 N Market ST,Frederick,Maryland,21701,219 Harpers WAY,Frederick,Maryland,21702,2019,"['Kwabena Okrah', 'Kwabena Okrah']",Alirtify,"['Kwabena (Koby) Okrah', 'Kwabena (Koby) Okrah']",118 N Market St,Frederick,Maryland,United States,21701 6621,https://alirtify.com/,2019,80.0,100.0,0,100.0,40.0,100.0,100.0,100.0,100.0,66.66666666666667,66.66666666666667,100.0
PrecNA LLC,"PRECNA, LLC",https://www.precna.com/,1,14724 Latakia PL,North Potomac,Maryland,20878,14724 Latakia Place,North Potomac,Maryland,20878,2021,"['Michael Gaitan', 'Michael Gaitan']",PrecNA LLC,"['Michael Gaitan', 'Michael Gaitan', 'Michael Gaitan']",14724 Latakia Pl,North Potomac,Maryland,United States,20878-2545,https://www.precna.com,2021,95.23809523809523,97.77777777777777,0,100.0,91.42857142857143,100.0,100.0,100.0,100.0,66.66666666666667,66.66666666666667,100.0
"Ambay Immune Sensors and Controls, LLC","AMBAY IMMUNE SENSORS AND CONTROLS, LLC",,1,20140 Scholar DR STE 118,Hagerstown,Maryland,21742,20140 Scholar DR STE 118,Hagerstown,Maryland,21742,2008,"['Meena Chandok', 'Meena Chandok']","Ambay Immune Sensors and Controls, LLC","['Meena Chandok', 'Meena Chandok']","20140 Scholar Drive, TIC, Suite 110",Hagerstown,Maryland,United States,21742,https://ambaykit.com,2008,100.0,8.695652173913048,0,77.96610169491525,77.96610169491525,100.0,100.0,100.0,100.0,100.0,100.0,100.0
"X-wave Innovations, Inc","X-WAVE INNOVATIONS, INC.",http://www.x-waveinnovations.com/,1,555 Quince Orchard RD STE 510,Gaithersburg,Maryland,20878,,,,,2009,"['JENNIFER DUAN', 'DAN XIANG']","X-wave Innovations, Inc",['Dan Xiang'],555 Quince Orchard Rd,Gaithersburg,Maryland,United States,20878 1437,https://www.x-waveinnovations.com/index.html,2009,97.87234042553192,85.71428571428572,0,84.0,0.0,100.0,0.0,100.0,0.0,66.66666666666667,0.0,100.0
Sanchez Engineering Services,MICHAEL SANCHEZ,https://www.sanchezeng.com/,1,1195 Stoney Creek RD,Bedford,Virginia,24523,1195 Stoney Creek RD,Bedford,Virginia,24523,2017,"['Michael Sanchez', 'Michael Sanchez']",Sanchez Engineering Services,['Michael Sanchez'],,,,United States,,https://www.sanchezeng.com/,,32.55813953488372,100.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
Lasarrus Clinic and Research Center,LASARRUS CLINIC AND RESEARCH CENTER INC,https://www.lasarrus.com/,1,634 Kittendale CIR,Baltimore,Maryland,21220,634 Kittendale CIR,Baltimore,Maryland,21220,2013,"['Lloyd Emokpae', 'Lloyd Emokpae']",Lasarrus Clinic and Research Center,['Lloyd Emokpae'],634 Kittendale Cir,Middle River,Maryland,United States,21220 2330,https://www.lasarrus.com/privacy-policy,2021,94.5945945945946,78.125,0,100.0,100.0,28.57142857142857,28.57142857142857,100.0,100.0,66.66666666666667,66.66666666666667,100.0
"Kick Robotics, LLC",KICK ROBOTICS LLC,https://www.kickrobotics.com/,1,4806 Westway DR,Bethesda,Maryland,20816,4806 Westway DR,Bethesda,Maryland,20816,2020,"['Johnny Crupi', 'Johnny Crupi']","Kick Robotics, LLC",['John Crupi'],4806 Westway Dr,Bethesda,Maryland,United States,20816 1726,https://kickrobotics.com/,2020,97.14285714285714,92.5925925925926,0,100.0,100.0,100.0,100.0,100.0,100.0,66.66666666666667,66.66666666666667,100.0
"InfraTrac, Inc.",INFRATRAC INC,http://www.infratrac.com/,1,20140 Scholar DR STE 118,Hagerstown,Maryland,21742,20140 Scholar DR STE 118,Hagerstown,Maryland,21742,2006,"['SHARON FLANK', 'Jon Schupp']","InfraTrac, Inc.",['Sharon Flank'],8070 Georgia Ave,Silver Spring,Maryland,United States,20910 4981,https://infratrac.com/,,92.85714285714286,89.36170212765957,0,35.0,35.0,34.78260869565217,34.78260869565217,100.0,100.0,40.0,40.0,100.0
"Auxergen, Inc.",AUXERGEN INC,https://auxergen.com/,1,,,,,701 E Pratt ST STE 4011,Baltimore,Maryland,21202,2015,"['Gregory Contreras', 'Gregory Contreras']","Auxergen, Inc.","['Gregory Contreras', 'Gregory Contreras']",701 E Pratt St,Baltimore,Maryland,United States,21202 3183,https://auxergen.com,,92.3076923076923,97.5609756097561,0,0.0,75.67567567567568,0.0,100.0,0.0,100.0,0.0,66.66666666666667,100.0
Advanced Biomimetic Sensors,"ADVANCED BIOMIMETIC SENSORS, INC.",http://www.abs-isensors.com/,1,,,,,,,,,2006,"['ELLEN chen', 'ELLEN chen']",Advanced Biomimetic Sensors,"['Ellen Chen', 'Ellen Chen']",6710A Rockledge Dr,Bethesda,Maryland,United States,20817-2843,https://www.abs-isensors.com/contact,2006,90.0,87.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.43137254901961
"Adloris, ltd","ADLORIS FOUNDATION, INC",https://www.adloris.org/,1,755 80TH ST S,Birmingham,Alabama,35206,,,,,2013,"['Adler Archer', 'Adler Archer']","Adloris, ltd","['Adler Archer', 'Adler Archer', 'Adler Archer']",,,,United States,,,,51.42857142857142,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.26086956521739
PZA innovation LLC,PZA INNOVATION LLC,,1,403 Far Hills CT,Towson,Maryland,21286,403 Far Hills CT,Towson,Maryland,21286,2020,"['Wanliang Shi', 'Wanliang Shi']",PZA innovation LLC,['Wanliang Shi'],403 Far Hills Ct,Towson,Maryland,United States,21286-7319,https://pzainnovation.com,2020,100.0,21.42857142857143,0,100.0,100.0,100.0,100.0,100.0,100.0,66.66666666666667,66.66666666666667,100.0
SpringGem Weather Information,SPRINGGEM WEATHER INFORMATION LLC,http://www.sg-weather.com/,1,10804 Tuckahoe WAY,North Potomac,Maryland,20878,10804 Tuckahoe WAY,North Potomac,Maryland,20878,2017,"['Menglin Jin', 'Menglin Jin']",SpringGem Weather Information,"['Menglin Jin', 'Menglin Jin']",10804 Tuckahoe Way,North Potomac,Maryland,United States,20878 4295,https://sg-weather.com,2017,93.5483870967742,87.5,0,100.0,100.0,100.0,100.0,100.0,100.0,66.66666666666667,66.66666666666667,100.0
"Drakeford, Scott, & Associates LLC","DRAKEFORD, SCOTT, & ASSOCIATES, LLC",http://www.drakefordassociates.org/,1,15340 Palmer RD,Marston,North Carolina,28363,,,,,2007,"['Derrick Drakeford', 'DERRICK DRAKEFORD']","Drakeford, Scott, & Associates LLC","['Derrick Drakeford', 'Derrick Drakeford']",9701 Apollo Dr Ste 301,Largo,Maryland,United States,20774-4790,https://drakefordassociates.org/,,98.55072463768117,92.53731343283582,0,32.432432432432435,0.0,50.0,0.0,36.36363636363637,0.0,13.33333333333333,0.0,100.0
"Intraderm, LLC","INTRADERM, LLC",,1,,,,,,,,,2012,"['Melanie Adams', 'Melanie Adams']","Intraderm, LLC",['Melanie Adams'],2657 Annapolis Rd,Hanover,Maryland,United States,21076 1262,,2016,100.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.66666666666667
DeepMirror Inc.,DEEPMIRROR LTD,,1,,,,,,,,,2019,"['Max Jakobs', 'Max Jakobs']",DeepMirror Inc.,['Shangfu Peng'],,,,United States,,https://www.deepmirror.com,2019,75.86206896551724,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.84615384615385
Integrated Pharma Services,"INTEGRATED PHARMA SERVICES, LLC",https://www.integratedpharmaservices.com/,1,4 Research CT STE 100,Rockville,Maryland,20850,,,,,2018,"['Mina Izadjoo', 'Mina Izadjoo']",Integrated Pharma Services,['Mina Izadjoo'],4 Research Ct,Rockville,Maryland,United States,20850 3854,https://www.integratedpharmaservices.com,2018,91.22807017543859,98.76543209876543,0,76.47058823529412,0.0,100.0,0.0,100.0,0.0,66.66666666666667,0.0,100.0
Epsilon Innovation Group Inc.,EPSILON INNOVATION GROUP INC,,1,11343 Baroque RD,Silver Spring,Maryland,20901,,,,,2012,"['Asmerom Gilau', 'Asmerom Gilau']",Epsilon Innovation Group Inc.,['Asmerom Gilau'],11343 Baroque Rd,Silver Spring,Maryland,United States,20901 5014,https://www.epsiloninnovation.com/index.html,2012,98.24561403508771,12.765957446808507,0,100.0,0.0,100.0,0.0,100.0,0.0,66.66666666666667,0.0,100.0
Carbon Lockdown,CARBON LOCKDOWN PROJECT BENEFIT LLC,,1,8408 Galveston Road,Silver Spring,Maryland,20910,8408 Galveston Road,Silver Spring,Maryland,20910,2022,"['Ning Zeng', 'Ning Zeng']",Carbon Lockdown,['Ning Zeng'],,College Park,Maryland,United States,,https://carbonlockdown.net,2022,60.0,13.793103448275868,0,0.0,0.0,40.0,40.0,100.0,100.0,0.0,0.0,100.0
You Heal With Horticulture,YOU HEAL WITH HORTICULTURE LLC,,1,,,,,,,,,2018,"['Ebony Jenkins', 'Ebony Jenkins']",You Heal With Horticulture,"['Ebony Jenkins', 'Ebony Jenkins']",330 S Morris St,Snow Hill,Maryland,United States,21863 1134,,2018,92.85714285714286,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.82352941176471
Error Corp.,ERROR CORP.,,1,,,,,,,,,2020,"['Dennis Lucarelli', 'Dennis Lucarelli']",Error Corp.,['Dennis Lucarelli'],4405 E West Hwy,Bethesda,Maryland,United States,20814 4522,https://www.linkedin.com/company/error-corp/,2020,100.0,12.765957446808507,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
"Act2End, LLC",ACT2END LLC,https://www.act2endcoaching.com/,1,,,,,,,,,2022,"['Diandra Poe', 'Diandra Poe']","Act2End, LLC","['Diandra Poe', 'Diandra Poe']","1190 West Northern Parkway
Apt 910",Baltimore,Maryland,United States,,https://www.act2endcoaching.comm,,95.65217391304348,96.875,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.96610169491525
Ballmecca Inc.,BALLMECCA INC.,https://ballmecca.com/,1,,,,,,,,,2022,"['Enmanuel Madera', 'Enmanuel Madera']",Ballmecca Inc.,"['Enmanuel Madera', 'Enmanuel Madera']",4709 Harford Road,Baltimore,Maryland,United States,21214,https://www.ballmecca.com/,2023,100.0,91.66666666666666,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.91304347826086
QubitSolve Inc.,QUBITSOLVE INC.,https://www.qubitsolve.com/,1,781 Chestnut Ridge RD STE 1000,Morgantown,West Virginia,26505,2006 White Oak DR,Morgantown,West Virginia,26505,2022,"['Madhava Syamlal', 'Madhava Syamlal']",QubitSolve Inc.,['Madhava Syamlal'],2006 White Oak Dr,Morgantown,West Virginia,United States,26505,https://www.qubitsolve.com/,,100.0,100.0,0,25.531914893617024,100.0,100.0,100.0,100.0,100.0,100.0,100.0,80.0
CooperSoft,COOPERSOFT INC.,http://www.coopersoft.com/,1,3407 Dunwood Crossing DR,Bowie,Maryland,20721,,,,,2005,"['JEFFREY Cooper', 'JEFFREY Cooper']",CooperSoft,"['Jeffrey Cooper', 'Jeffrey Cooper', 'Jeffrey Cooper']",3407 Dunwood Crossing Dr,Bowie,Maryland,United States,20721 1266,https://coopersoft.com/,2005,80.0,89.79591836734694,0,100.0,0.0,100.0,0.0,100.0,0.0,66.66666666666667,0.0,100.0
Sustainabli,"SUSTAINABLI, LLC",https://sustainabli.org/,1,6449 River Run,Columbia,Maryland,21044,6449 River Run,Columbia,Maryland,21044,2023,"['Kevin Tu', 'Kevin Tu']",Sustainabli,['Kevin Tu'],,Baltimore,Maryland,United States,,https://www.linkedin.com/company/sashimilab/,2022,81.4814814814815,41.17647058823529,0,0.0,0.0,23.529411764705888,23.529411764705888,100.0,100.0,0.0,0.0,100.0
XpeRience Science,XPERIENCE SCIENCE LLC,https://xperiencesci.com/,1,1114 Many LN,Bel Air,Maryland,21014,,,,,2022,"['Jared DeCoste', 'Jared DeCoste']",XpeRience Science,['Jared DeCoste'],,,,United States,,https://xperiencesci.com/,2022,89.47368421052632,100.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
Precision Neuroscopics,PRECISION NEUROSCOPICS LLC,http://www.precisionneuroscopics.com/,1,4620 Henry ST,Pittsburgh,Pennsylvania,15213,4620 Henry ST,Pittsburgh,Pennsylvania,15213,2015,"['Shawn Kelly', 'Shawn Kelly']",Precision Neuroscopics,['Alireza Chaman Zar'],4620 Henry St,Pittsburgh,Pennsylvania,United States,15213 3715,https://www.precisionneuroscopics.com/,2015,91.66666666666666,98.66666666666667,0,100.0,100.0,100.0,100.0,100.0,100.0,66.66666666666667,66.66666666666667,100.0
"NextStep Robotics, Inc.","NEXTSTEP ROBOTICS, INC.",https://www.nextsteprobo.com/,1,,,,,,,,,2017,"['Bradley Hennessie', 'Bradley Hennessie']","NextStep Robotics, Inc.",['Bradley Hennessie'],800 W Baltimore St,Baltimore,Maryland,United States,21201 1138,https://www.nextsteprobo.com/,2017,100.0,100.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.76923076923077
"Scaled Microbiomics, LLC",SCALED MICROBIOMICS LLC,,1,706 Morningside AVE,Hagerstown,Maryland,21740,706 Morningside AVE,Hagerstown,Maryland,21740,2017,"['Julius Goepp', 'Julius Goepp']","Scaled Microbiomics, LLC",['Julius Goepp'],706 Morningside Ave,Hagerstown,Maryland,United States,21740 5071,https://scaledmicrobiomics.com,2017,97.87234042553192,6.060606060606055,0,100.0,100.0,100.0,100.0,100.0,100.0,66.66666666666667,66.66666666666667,100.0
Sorbenta,SORBENTA INC,,1,107 E Poplar AVE,Carrboro,North Carolina,27510,1710 E Franklin ST Num 1129,Chapel Hill,North Carolina,27514,2022,"['Irene Harmody', 'Orlando Coronell']",Sorbenta,['Frank Leibfarth'],,,,United States,,,,80.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
Gloria Zhang,"ASCENDING, INC.",https://www.ascendingdc.com/,1,2751 Prosperity AVE STE 240,Fairfax,Virginia,22031,,,,,2018,"['Gloria Zhang', 'Gloria Zhang']",Gloria Zhang,['Gloria Zhang'],,,,United States,,,,22.22222222222222,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
Organizing4Innovation,ORGANIZING FOR INNOVATION LLC,https://www.organizing4innovation.com/,1,1481 John Tyler HWY,Williamsburg,Virginia,23185,,,,,2013,"['Floor Blindenbach', 'FLORIENA BLINDENBACH']",Organizing4Innovation,['Floortje Blindenbach-Driessen'],,,,United States,,,,80.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
CRANENANO LLC,CRANENANO LLC,,1,31 Orchard DR,Gaithersburg,Maryland,20878,31 Orchard DR,Gaithersburg,Maryland,20878,2016,"['MICHAEL KIO', 'MICHAEL KIO']",CRANENANO LLC,"['Michael Kio', 'Michael Kio', 'Michael Kio']",31 Orchard Dr,Gaithersburg,Maryland,United States,20878 2225,https://www.cranenano.com/about,2019,100.0,17.647058823529417,0,100.0,100.0,100.0,100.0,100.0,100.0,66.66666666666667,66.66666666666667,100.0
Silvec Biologics,"SILVEC BIOLOGICS, INC",https://www.silvec.com/,1,200 Girard ST STE 200,Gaithersburg,Maryland,20877,200 Girard ST STE 200,Gaithersburg,Maryland,20877,2019,"['Rafael Simon', 'Rafael Simon']",Silvec Biologics,['Anne Simon'],9600 gudelsky dr,Rockville,Maryland,United States,,,2020,86.48648648648648,0.0,0,37.83783783783784,37.83783783783784,19.047619047619047,19.047619047619047,100.0,100.0,0.0,0.0,100.0
ACTIVECharge,ACTIVECHARGE LLC,https://activecharge.us/,1,1450 S Rolling RD,Halethorpe,Maryland,21227,1450 S Rolling RD,Halethorpe,Maryland,21227,2018,"['Pranay Kohli', 'Pranay Kohli']",ACTIVECharge,"['Hyun Jun Jung', 'Pranay Kohli']",,Washington,District of Columbia,United States,,https://activecharge.us/,2019,85.71428571428572,100.0,0,0.0,0.0,30.000000000000004,30.000000000000004,21.42857142857143,21.42857142857143,0.0,0.0,100.0
Blimp Logistics,BLIMP LOGISTICS INC,https://blimplogistics.com/,1,9011 Gettysburg LN,College Park,Maryland,20740,9011 Gettysburg LN,College Park,Maryland,20740,2020,"['Camilo Melnyk', 'Camilo Melnyk']",Blimp Logistics,['Camilo Melnyk'],9011 Gettysburg Ln,College Park,Maryland,United States,20740 4017,https://blimplogistics.com,2020,88.23529411764706,98.11320754716981,0,100.0,100.0,100.0,100.0,100.0,100.0,66.66666666666667,66.66666666666667,100.0
Virtual Apprentice,VIRTUAL APPRENTICE LLC,https://www.virtualapprentice.net/,1,,,,,1 Research CT STE 450,Rockville,Maryland,20850,2019,"['Ellie Giles', 'Ellie Giles']",Virtual Apprentice,['Ellie Giles'],4865 Cordell Ave,Bethesda,Maryland,United States,20814 3030,https://www.virtualapprentice.net,2019,90.0,98.50746268656717,0,0.0,27.027027027027028,0.0,11.764705882352944,0.0,100.0,0.0,53.333333333333336,100.0
Astek Diagnostics Inc.,ASTEK DIAGNOSTICS INC.,https://astekdx.com/,1,,,,,,,,,2021,"['Mustafa Al', 'Mustafa Al']",Astek Diagnostics Inc.,"['Mustafa Al-Adhami', 'Mustafa Al-Adhami']",1450 S Rolling Rd,Baltimore,Maryland,United States,21227 3863,https://astekdx.com/#about-us,2020,100.0,81.63265306122449,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.08108108108108
"Djit Medtech, Inc.","DJIT MEDTECH, INC.",https://djit-medtech.com/,1,1628 Bolton ST,Baltimore,Maryland,21217,1628 Bolton Street,Baltimore,Maryland,21217,2022,"['Marcia Hart', 'Marcia Hart']","Djit Medtech, Inc.","['Marcia Hart', 'Marcia Hart']",1628 Bolton Street,Baltimore,Maryland,United States,,https://www.djit-medtech.com/,2022,100.0,92.5925925925926,0,87.5,100.0,100.0,100.0,100.0,100.0,0.0,0.0,100.0
