company,businessStatus,employees,description,legalName,revenue,primaryIndustrySector,hqAddressLine1,hqLocation,companyWebsite
Ballmecca,Generating Revenue,7,"Developer of sports technology application designed to empower athletes everywhere to achieve their full potential. The company's application offers various features such as personalized analysis and feedback, cutting-edge video analysis tools, and technique demonstrations from coaches for soccer, lacrosse, football, and hockey.",Ballmecca Inc.,,Information Technology,4709 Harford Road,"Baltimore, MD",www.ballmecca.com
Caregiver Jobs Now,Out of Business,7,"Operator of a recruiting platform intended to help employers source caregiver talent and connect caregivers to employers. The company's platform offers fully complete, comprehensive, and industry-specific candidate profiles such as nursing assistants, home health aides, personal care aides, and many more from which hiring managers can pre-screen and invite candidates, enabling clients to make an informed decision about who they hire in the least amount of time.","Reciprocall Health, Inc.",,Business Products and Services (B2B),8222 Georgia Avenue,"Silver Spring, MD",www.caregiverjobsnow.com
Haystack Solutions,Generating Revenue,7,"Developer of a cyber talent platform designed to identify cybersecurity talent for corporations, education, and workforce development organizations. The company's platform offers cyber aptitude and talent assessment tests to predict the capability of an individual to succeed in cybersecurity and focuses on recruiting and retention of candidates, enabling businesses to hire deserving cybersecurity talent.","Haystack Solutions, Inc.",,Information Technology,7761 Diamondback Drive,"College Park, MD",www.haystacksolutions.com
Hop Flyt,Generating Revenue,7,"Developer of a versatile electric vertical take-off landing i.e. eVTOL aircraft designed to solve the challenges of traffic congestion, exhaust pollution, and transport logistics. The company's aircraft transports passengers and cargo over urban traffic and operates using electric energy, emitting no pollution, enabling customers to travel faster with improved travel safety.",Hop Flyt Inc.,,Business Products and Services (B2B),12003 Double Tree Lane,"Lusby, MD",www.hopflyt.com
Pathotrak,Generating Revenue,7,"Developer of a sample-prep kit designed to eliminate food-safety risks and gaps in the food industry. The company's sample-prep kit uses a new microfiltration technology to drastically expedite the detection of both salmonella and e-coli in food, thereby reducing food testing time from days to hours, enabling producers to release products one day earlier, helping the food industry better balance shelf life, profit, and food safety.",PathOTrak Inc.,,Business Products and Services (B2B),387 Technology Drive,"College Park, MD",www.pathotrak.com
Prime Three,Generating Revenue,7,"Prime Three is a Baltimore, MD based private company whose line of business is Custom computer programming","Prime Three, LLC",,Information Technology,3411 Crossland Ave,"Baltimore, MD",primethree.com
Sentimetrix,Generating Revenue,7,"Developer of a social analytics platform designed to provide real-time analysis of vast quantities of complex data in multiple languages. The company's platform provides real-time analysis, data submission, and retrieval and also identifies and displays trend-setters and amplifiers of opinion in real-time, enabling clients to track up to 5 topics at a time and compare changes of opinion over time by topic, country language, and source.","SentiMetrix, Inc",,Information Technology,6017 Southport Drive,"Bethesda, MD",www.sentimetrix.com
And Battery Aero,Stealth,6,Developer of battery system intended to decarbonize and propel the future of aviation. The company is currently operating in stealth mode.,"And Battery Aero, Inc.",,Business Products and Services (B2B),,"Palo Alto, CA",www.and.aero
Avasys,Generating Revenue,6,"Operator of a medical device incubation company intended to accelerate the development and commercialization of innovative medical devices. The company provides a comprehensive suite of software tools, hardware, and services, enabling medical device manufacturers to streamline their product development process, reduce costs, and improve time to market.","Avasys, LLC",,Healthcare,11620 Reisterstown Road,"Baltimore, MD",www.avasysmedical.com
BeneKinetic,Generating Revenue,6,"Provider of online therapeutic care intended to identify, diagnose, and treat underlying musculoskeletal injuries that cause chronic pain. The company offers physical therapy training to treat disc herniation, spinal stenosis, iliotibial band syndrome, tennis elbow, hip replacement recovery, and muscle tightness, thereby helping individuals improve their mobility and avoid surgeries and dependence on medications.","BeneKinetic, Inc.",,Healthcare,1451 Rockville Pike,"Rockville, MD",www.benekinetic.com
CurieDx,Generating Revenue,6,"Developer an artificial intelligence-driven diagnostic tools designed to analyze medical images to improve cancer diagnoses. The company's tools utilize smartphone images, deep learning AI, and telehealth integration for common childhood illnesses from the comfort of their own home and remote settings, enabling telehealth providers and patients with point-of-care tests using images.","CurieDx, Inc.",,Healthcare,101 West Chesapeake Avenue,"Baltimore, MD",www.curiedx.com
Dirigible Systems,,6,"Developer of IT systems engineering and computing services, specializing in project management and systems engineering for small and medium businesses and organizations. Dirigible Systems offers fog computing solutions to address problems of scale for applications and values extensive experience and expert skills in potential employees. The company was founded in 2020.",,,Information Technology,,"Westminster, MD",dirigible.systems
Dockshare,Generating Revenue,6,"Developer of a mobile application designed to connect boaters with waterfront property owners who want to rent out their docks. The company's application offers short-term and long-term dock rentals, booking, same-day reservations, paddle boarding, canoeing, and kayaking, enabling private dock owners to rent their docks while safely earning extra income","Dockshare, Inc.",0.01,Consumer Products and Services (B2C),,"Baltimore, MD",www.dockshare.app
Error Corp,Startup,6,"Developer of error control platform intended for near-term and future fault-tolerant quantum computers. The company's platform is built around proprietary algorithms that involve non-destructive measurements to detect errors in quantum systems, enabling researchers to operate for longer periods and reduce inaccuracy rates.",Error Corp.,0.88,Information Technology,4405 East West Highway,"Bethesda, MD",www.error-corp.com
Flourish & Thrive Labs,,6,Operator of a public health consulting firm providing transformation and procurement services. Flourish & Thrive Labs helps public health organizations overcome challenges and drive change through expert guidance.,,,Business Products and Services (B2B),,"Grayslake, IL",fandtlabs.com
GaiaXus,Generating Revenue,6,"Developer and manufacturer of environmental monitors designed for citizen scientists, students and educators. The company's data cloud is designed to give a space to partner on projects, share insights, and work together on actionable analytics in environmental projects and offers apps, sensors, algorithms and products, enabling researchers and citizen scientists to get an accurate water monitoring system.","GaiaXus, LLC",,Business Products and Services (B2B),20410 Century Boulevard,"Germantown, MD",www.gaiaxus.com
IES Life Sciences,Out of Business,6,"Operator of a diagnostics company intended to diagnose and treat diseases at their earliest stages. The company specializes in detecting and measuring the unique combination of interferons released by a diseased human cell that be used to diagnose a disease, determine its severity and create therapies to treat the disease, enabling physicians to identify and treat diseases at lower costs.","IES Life Sciences, Inc.",,Healthcare,Eastern Shore Innovation Center 104 Tech Park Drive,"Cambridge, MD",www.ieslifesciences.com
Inception Robotics,Startup,6,"Developer of autonomous robotics technology designed to deploy safe and socially compliant robots in public places. The company's technology develops robots that can navigate through public places for contactless deliveries, and robust indoor localization, enabling companies to incorporate small robots to increase productivity and reduce the total labor cost.","Inception Robotics, LLC",,Information Technology,4467 Technology Drive,"College Park, MD",www.inceptionrobotics.ai
InovCares,Generating Revenue,6,"Provider of an online healthcare service intended to meet virtually with physicians and other medical personnel. The company's platform is based on healthcare practitioners who help to increase access to comprehensive and affordable healthcare through mobile applications and at-home health or employer-site care delivery, enabling expecting mothers to consult doctors anytime.",InovCares Connected Comprehensive Healthcare LLC.,,Healthcare,504 Fair Street Southwest,"Atlanta, GA",www.inovcares.health
MF Fire,Generating Revenue,6,"Manufacturer of wood stoves designed for room heating purposes. The company develops modern wood stoves supported with technology that continuously monitors, adjusts, and automatically protects from chimney fires, enabling customers to generate heat with reduced emissions and avoid undesirable aspects of traditional heating.","MF Fire, Inc.",2.35,Consumer Products and Services (B2C),3031 Washington Boulevard,"Baltimore, MD",www.mffire.com
Park & Diamond,Out of Business,6,"Manufacturer of a portable cycling helmet intended to offer the protection required while riding a bicycle or kick scooter. The company's helmet comes with a compact design and interchangeable skin is collapsible, contains hand-washable layers and offers ultraviolet protection, enabling cyclists to get a helmet that is efficient in absorbing and dissipating energy.","Park & Diamond, Inc.",,Consumer Products and Services (B2C),195 Montague Street,"New York, NY",www.park-and-diamond.com
Plasticity,Generating Revenue,6,"Developer of an API platform designed to create human-like natural language interfaces. The company's platform employs inference, deduction, and distant supervision to uncover hidden knowledge by making better natural language understanding open and accessible, thus enabling developers and IT firms to replace human manpower to accomplish tasks that typically require a human.","Plasticity, Inc.",,Information Technology,7918 Jones Branch Drive,"McLean, VA",www.plasticity.ai
TerraPulse,Generating Revenue,6,"Developer of satellite-based maps and databases intended to give data-driven insights about earth from space. The company's maps record inundation histories, identify wetland habitats and quantify flood risk to serve forestry, urban development, wildlife conservation, watershed management as well as real estate investment and natural resource insurance, enabling government and investment organizations to value the productivity and diversity of ecosystems and support the health, prosperity and freedom of the economies they sustain.","TerraPulse, Inc.",,Business Products and Services (B2B),11521 Alcinda Lane,"North Potomac, MD",www.terrapulse.com
Xopolis,Generating Revenue,6,"Developer of AI workforce management platform designed to measure entrepreneurial ecosystem metrics. The company's software specializes in mapping capabilities, and entrepreneurship indicators and uses the adaptive life cycle of entrepreneurial ecosystems, enabling entrepreneurs to rate their startups accordingly.",Xopolis Inc,,Information Technology,1968 Winterport Cluster,"Reston, VA",www.xopol.is
ZeroDay Law,,6,"Operator of a privacy and cybersecurity law firm offering incident response management, planning, and preparation services. ZeroDay Law provides consulting, coaching, and training for boards of directors, corporate officers, legal departments, and personnel. Their expertise covers the legal, business, and technical aspects of cybersecurity law and privacy. The entity's objective is to minimize clients' risks through effective incident response preparation and management.",,,Business Products and Services (B2B),"5335 Wisconsin Ave NW, Suite 440","Washington, DC",zerodaylaw.com
Advanced Optronics,Generating Revenue,5,"Developer of medical devices designed for surgeons who can perform less traumatic insertions and preserve residual hearing. The company develops flexible, biocompatible sensor systems to enable, less invasive surgery for various medical applications and uses flexible micro-electromechanical system sensors integrated with the cochlear implant, enabling surgeons to improve surgery outcomes.",Advanced Optronics Inc.,,Healthcare,"4765 Forbes Avenue, 3rd Floor","Pittsburgh, PA",www.advancedoptronics.com
AGED Diagnostics,Generating Revenue,5,"Operator of a biotechnology company intended to create a non-invasive test for liver disease. The company focuses on using transcriptional genetic analysis to identify the patterns of early tumorigenesis, enabling medical researchers to obtain an accurate depiction of their patient's health.","Active Genomes Expressed Diagnostics, Inc",,Healthcare,6720A Rockledge Drive,"Bethesda, MD",www.ageddiagnostics.com
Alchemity,Generating Revenue,5,"Developer of membrane reactor technology designed to improve efficiency and reduce cost and GHG emissions. The company utilizes modular gas-to-liquid technology to produce hydrogen for transportation and ammonia for fertilizer, enabling clients to transform chemicals into value-added products via ion-conducting ceramics",Alchemity LLC,,Energy,9469 Lovat Road,"Fulton, MD",www.alchemity.tech
Aquatonomy,Startup,5,"Developer of autonomous robotics technologies designed for underwater inspection and monitoring, The company's technology specializes in offering visual intelligence to submerged complex structures in global positioning systems and obstacle-rich environments using autonomous underwater robots, enabling clients to analyze critical underwater infrastructure.",Aquatonomy Inc,,Information Technology,113 47th Street,"Pittsburgh, PA",www.aquatonomy.com
Auxergen,Generating Revenue,5,"Operator of a biocontrol innovation platform intended to develop engineered viruses and enzymes to sustainably combat plant diseases, protect human health, and remediate polluted environments. The company's platform harnesses targeted biochemical solutions, like XylePhage for olive trees and KataNaseTM disinfectant, helping farmers, healthcare providers, and environmental stewards to safeguard resources, reduce chemical reliance, and ultimately cultivate a healthier planet.","Auxergen, Inc.",,Materials and Resources,Rita Rossi Colwell Center,"Baltimore, MD",www.auxergen.com
Carbon Lockdown,,5,"Developer of carbon sequestration technologies for climate and sustainability. Carbon Lockdown's project focuses on Wood Harvesting and Storage (WHS), a management intervention for long-lasting storage and removal of CO2 from the atmosphere. Their goal is to sustainably sequester carbon, conduct projects and advise other entities, monitor and verify carbon sequestration projects, and issue 'Carbon Lockdown' certificates. They also serve as a platform for idea exchange, education, and professional connection.",,,Business Products and Services (B2B),4254 Stadium Dr,"College Park, MD",carbonlockdown.net
E.B.V. Engineering,Generating Revenue,5,"E.B.V. Engineering is a Largo, MD based private company whose line of business is Engineering services","E.B.V. Engineering, Inc.",,Business Products and Services (B2B),1801 Mccormick Dr Ste 350,"Largo, MD",iengri.com
Fluid Reality,Startup,5,"Developer of actuator technology designed to display shapes of fingertips like pixels on a screen. The company's product can be used in areas like AR/VR, hardware, medical devices, and robotics purposes, enabling companies to create engaging experiences for their consumers.",Fluid Reality Incorporated,,Information Technology,1857 North California Avenue,"Chicago, IL",www.fluidreality.com
Lasarrus,Generating Revenue,5,"Developer of a wearable device intended to improve the physical therapy of the user. The company's device aims to speed up the path to recovery for requiring telemedicine and remote monitoring as it captures both physiological and range-of-motion data at any point along the body, enabling patients to gain access to an affordable, comfortable and non-invasive product to keep track of their health routine.","Lasarrus Clinic and Research Center, Inc.",,Healthcare,1100 Wicomico Street,"Baltimore, MD",www.lasarrus.com
Maxterial,Generating Revenue,5,"Developer of an advanced chemical and coating technology designed to protect the surface shape or texture of versatile materials against wear, heat and corrosion. The company offers a revolutionary coating platform that eliminates the need for dangerous chemicals, enabling various industries to get safer and more environmentally friendly solutions for corrosion prevention and wear resistance",Maxterial Inc.,,Materials and Resources,2600 Hilltop Drive,"Richmond, CA",www.maxterial.com
MediaVax,Generating Revenue,5,"Provider of social media content management solution intended to arm the media and business against social disinformation. The company utilizes machine learning and predictive analytic methods to quickly and accurately identify and analyze the credibility and bot activity promoting synthetic content on social media, helping brands and news media organizations to safeguard information, mitigate the risks posed by unreliable data and prevent damage to the label on a real-time basis.",MediaVax Inc,0.03,Information Technology,3803 Bradley Lane,"Chevy Chase, MD",www.mediavax.ai
Move and Still,,5,"Operator of wellness programs and services, offering remote/hybrid programs, workshops, and training. Move And Still provides body-centered mindful movement sessions, healing sound healing, meditation, and breathwork sessions, virtual group mindfulness coaching sessions, and trauma-informed wellness education courses. Their services are designed for youth organizations, K-12 schools, higher education institutions, corporate organizations, non-profit organizations, events and conferences, retreats, and community organizations and events.",,,Consumer Products and Services (B2C),,"Baltimore, MD",movexstill.com
MPLEX,Generating Revenue,5,"Operator of virtual reality games and technology company intended to design and develop a gaming experience. The company uses virtual reality to change the video game experience by developing a multiplayer tank combat game core disruption, enabling gamers to customize their profiles and manage assets according to individual playstyle.",MPLEX Corp,,Information Technology,4467 Technology Drive,"College Park, MD",www.mplexvr.com
Neopathology,Product Development,5,"Developer of an advanced tissue diagnostics tool designed to improve the accuracy of disease diagnosis and treatment. The company offers specialized staining techniques, advanced microscopy tools, artificial intelligence-powered analysis, computational pathology, computational biology, and companion diagnostics, enabling pathologists to gain insights into tissue samples to improve treatment and clinical outcomes.",Neopathology Corp.,,Healthcare,4539 Metropolitan Court,"Frederick, MD",www.neopathology.bio
PulseIQ,Generating Revenue,5,"Developer of energy management software designed for real estate management companies and property owners. The company's platform offers a suite of services including energy benchmarking, energy audits, utility bill audits, and smart mesh network thermostats, which help to identify inefficiencies, optimize energy usage, and reduce operational costs, enabling clients to not only improve their bottom line but also meet regulatory requirements and contribute to a more sustainable future.",PULSE IQ! LLC,,Information Technology,PO Box 5837,"Takoma Park, MD",www.pulseiq.com
Social Capital Builders,,5,"Provider of social capital training and coaching services to students, career builders, and corporations. The social enterprise's mission is to enhance economic and social well-being, educational effectiveness, and personal transformation through the building of connections. Services offered include virtual courses, on-site training, speaking engagements, and technical assistance, as well as practicum-based training for organizations seeking to integrate a social capital framework into their programs.",,,Business Products and Services (B2B),267 Kentlands Blvd,"Gaithersburg, MD",socialcapitalbuilders.com
Sustainabli,Stealth,5,Developer of fume hood sensors to promote safety and energy efficiency in the lab for sustainability managers at research organizations. The company is currently operating in stealth mode.,,,Information Technology,,"College Park, MD",www.gosustainabli.com
The Equity Brain Trust,Generating Revenue,5,"Operator of a social technology platform intended to help individual and corporate citizens to take data-driven actions. The company's platform aims to empower leaders who are serious about equity to track the data they need to create an equitable company and offers a clear and easy scoring process, enabling clients to avail the required data and make proper decisions.","The Black Brain Trust, LLC",,Information Technology,606 Reservoir Street,"Baltimore, MD",www.equitybraintrust.com
Weinberg Medical Physics,Generating Revenue,5,"Developer of imaging systems and devices designed to detect breast cancer through nanotechnology. The company's systems and devices use a shape-engineered iron-based microscopic contrast agent for magnetic resonance imaging, which provides clinical indications to detect breast cancer and guide cancer surgery, enabling clients with diagnostic accuracy while reducing side effects and enhancing scientists' ability to track stem cells.","Weinberg Medical Physics, Inc.",,Healthcare,12156 Parklawn Drive,"Rockville, MD",www.weinbergmedicalphysics.com
AmpX Technologies,Generating Revenue,4,"Developer of a custom technology designed to bridge the gap between academic research and commercial reality in power electronics. The company's technology develops reliable and cost-effective power electronic products for automotive, industrial, and consumer electronics sectors, and energy conversion systems for electric vehicles with simpler platforms, lower costs, higher efficiency, and higher robustness, enabling clients to develop modular and efficient products.","AmpX Technologies, Inc.",,Business Products and Services (B2B),4467 Technology Drive,"College Park, MD",www.ampxtech.com
Aquaponics AI,Generating Revenue,4,"Developer of cloud-based aquaponic software designed to power the heroes of next-generation aquaponic food production. The company's product features include allowing the integration of sensors and use of the latest crop libraries, app alerts, and best practices to take care of every facet of operation efficiently, consolidation of hand-written notes, managing teams, collaborative workflow, centralized data, audit logs, powerful insights, and more.","Aquaponics AI, LLC",,Information Technology,,"Littleton, CO",www.farmhub.ag
Astek Diagnostics,Generating Revenue,4,"Developer of a precision diagnostic technology designed to determine the existence of bacteria in the urine. The company's device employs a single-use cartridge to identify bacterial infection in the urine in less time than usual by detecting the oxygen consumption of bacterial species, enabling patients to fight antibiotic resistance through susceptibility testing.","Astek Diagnostics, Inc.",,Healthcare,1450 South Rolling Road,"Halethorpe, MD",astekdx.com
Bluelene,Generating Revenue,4,"Operator of an anti-aging skincare products company intended to preserve skin cell health with anti-oxidant skin formulation. The company's products use methylene blue which extends the life span of individual skin cells to improve overall skin connective tissue and wound healing, enabling men and women to take proper care of their skin.","Magic Blue Labs, LLC",,Consumer Products and Services (B2C),,"Bethesda, MD",www.bluelene.com
Floraponics,Generating Revenue,4,"Developer of an aquaponics system intended for sustainable flower farming. The company's system utilizes aquaponics that combines fish farming with hydroponics (growing plants without soil), enabling the floral industry to cultivate flowers with reduced water usage, minimize environmental impact and potentially surpass existing organic standards.",Floraponics L.L.C.,,Materials and Resources,17240 Edwards Ferry Road,"Poolesville, MD",www.floraponics.co
Gaskiya,Generating Revenue,4,"Developer of diagnostic tests designed to detect aquatic diseases. The company uses bioengineered capture proteins to bind targets and analyses with a degree of sensitivity and specificity which is low-cost, paper-based, and easy-to-use diagnostics, enabling aquaculture farmers to detect and prevent disease and loss of revenue.","Gaskiya Diagnostics, LLC",,Business Products and Services (B2B),1100 Wicomico Street,"Baltimore, MD",www.gaskiyadiagnostics.com
Genetoo,Generating Revenue,4,"Developer of anti-bacteria surfaces designed to reduce the number of infections associated with prosthetic implants surgeries. The company's laser ablative surface patterning technology inhibits bacterial adhesion and biofilm growth without the need for antibiotic treatments letting the body tissue surrounding the implant and interacts with its surface and growth for biomedical applications, enabling healthcare professionals to reduce the use of antibiotics for infections.","Genetoo, Inc.",,Healthcare,9841 Washingtonian Boulevard,"Gaithersburg, MD",www.genetoo.com
Hydropore,Generating Revenue,4,"Developer of hydrogen fuel pellets designed to store electricity and produce hydrogen from flexible water sources and in geographies with no hydrogen. The company's technology offers to embed clean hydrogen production on-board vehicles and improves the carbon intensity of hydrogen and hydrogen-based fuels produced from electricity, thereby enabling operators to embed clean hydrogen production on-site.",,,Energy,3401 Grays Ferry Avenue,"Philadelphia, PA",www.hydropore.com
integrated pharma services,Generating Revenue,4,"Provider of contract research services to biotechnology and pharmaceutical industries. IPS offers preclinical and clinical research, antimicrobial efficacy evaluation, analytical test validation, and FDA submission. Located in Rockville, Maryland.",,,Healthcare,,"Frederick, MD",integratedpharmaservices.com
JessBe Creative,Generating Revenue,4,"Operator of a creative agency intended to offer cultural competency and research services. The company helps companies develop culturally competent communications strategies, conduct research on diverse communities, and create training materials for their staff, and also offer production services, including video production, filming, and editing, enabling organizations to create culturally competent communications that resonate with their target audiences","Jessbe Creative, LLC",,Business Products and Services (B2B),819 Sheridan Street,"Hyattsville, MD",www.jessbecreative.com
Living Canopies,Generating Revenue,4,"Developer of a living green patio umbrella designed to cover and protect humans from the sun using live plants. The company's umbrella covers the living umbrella structure, smart-solar irrigation system and plant grow-out method and designs products to provide a cooler shade and prettier sight for outdoor space, enabling users to reduce stormwater flow with its integrated cistern, creating pollinator habitat and reversing the urban heat island effect.","Living Canopies, Ltd.",,Business Products and Services (B2B),4318 Sheridan Street,"University Park, MD",www.livingcanopies.com
Ocuflow,Out of Business,4,"Developer of a medical technology designed to analyze blood flow. The company's technology provides a 4th generation pulsatile ocular blood flow analyzer to manage ocular blood flow and also helps in delaying the progression of aging macular degeneration, diabetic retinopathy and glaucoma, enabling users to stay healthier.","OcuFLOW, Inc.",,Healthcare,"Sinai Hospital Bio-Incubator, Schapiro Building","Baltimore, MD",www.ocuflow.com
Opal HTM,Generating Revenue,4,"Developer of a healthcare equipment inventory management platform intended to maximize technology return on investment. The company's platform improves workflows and plans for the future through optimized procurement and maintenance strategies, enabling healthcare managers to turn unprecedented clarity into the efficiency and effectiveness of their entire equipment inventory.","Opal HTM, Inc.",,Healthcare,3827 Fawn Lane,"White Plains, MD",www.opalhtm.tech
Rehabtics,Out of Business,4,Provider of healthcare IT services. The company provides an online platform that offers upper-limb rehabilitation training systems for people who are suffering from neurological diseases.,Rehabtics LLC,,Healthcare,"Emerging Technology Centers, 3rd Floor","Baltimore, MD",www.rehabtics.com
Resilient Lifescience,Generating Revenue,4,"Developer of a wearable medical device designed to prevent opioid overdose in patients. The company's device develops medical systems that detect and automatically reverse overdoses using naloxone, enabling patients to save lives even when no one else is around.","Resilient Lifescience, Inc.",,Healthcare,1000 South Commons,"Pittsburgh, PA",www.resilient.bio
Signum Technologies,Startup,4,"Operator of an artificial intelligence and computer vision company intended to harness technology to address critical challenges. The company leverages machine learning to extract actionable insights from data and offers a wide range of applications such as vital sign monitoring, increased efficiency, initial health assessment, and much more, without any patient contact, providing clients with AI to extract actionable insights from data.",Signum Technologies Inc,,Healthcare,,"Radnor, PA",www.signum-tech.com
Thrive Company,,4,"Operator of a digital marketing agency that offers lead generation, customer engagement, and business consulting services. The entity also provides a subscription service and a digital marketing university. Their focus is on helping local businesses increase visibility and relevance in the marketplace.",,,Business Products and Services (B2B),8370 Court Ave,"Ellicott City, MD",thrivecompany.com
Vapor Cell Technologies,Generating Revenue,4,"Developer of ultra-compact vapor cells designed to sense distances with sub-nanometer precision. The company's vapor cells turn a laser into a wavelength standard, and measure length, and optical frequency, enabling companies and laboratories to operate at the forefront of atomic technology development.",Vapor Cell Technologies LLC,,Information Technology,2237 Pine Street,"Boulder, CO",www.vaporcelltechnologies.com
Xeddy,Generating Revenue,4,"Operator of an online food ordering platform designed to create a win-win ecosystem for students and local eateries. The company's platform connects students with nearby local restaurants and allows students to order food ahead for pickup or delivery, enabling students and users to get the convenience of ordering food ahead, saving time, and ensuring faster service.","Xeddy, Inc.",,Consumer Products and Services (B2C),5520 Research Park Drive,"Baltimore, MD",xeddy.app
ACTIVEcharge,Out of Business,3,"Developer of sensor and data transmitter system designed to monitor hard-to-reach locations. The company's system is integrated with a predictive analytics software engine to detect structural and operational issues before they result in catastrophic events, enabling companies to provide actionable insights, which can be autonomously implemented, resulting in a significant increase in equipment uptime, and ultimately resulting in increased profitability over equipment's lifetime.","ACTIVEcharge, LLC",,Information Technology,1450 South Rolling Road,"Halethorpe, MD",www.activecharge.us
AkriVita,Generating Revenue,3,"Developer of a multiport microcapillary needle designed to improve precision and microinjection outcomes. The company specializes in 3D-printed microcapillary needles to streamline biomedical research and disease prevention modeling, enabling biomedical scientists and healthcare professionals to prevent diseases and deliver therapies with enhanced accuracy and efficiency.","AkriVita, Inc.",,Healthcare,26 Hollyberry Court,"Rockville, MD",www.akrivita.com
AlgenAir,Generating Revenue,3,"Developer of natural air cleaners designed to improve indoor atmosphere quality. The company's filter removes carbon dioxide and produces oxygen, enabling people to use an organic purifier that uses algae to clean the air they breathe.",AlgenAir Inc.,,Consumer Products and Services (B2C),6024 Broad Street,"Pittsburgh, PA",www.algenair.com
Ambay Immune Sensors & Controls,Generating Revenue,3,"Developer of liquid biopsy-based test kits designed to improve the diagnosis and treatment of cancers. The company specializes in developing unique products and services to aid in solving unmet clinical diagnostic needs, enabling doctors to speed up the discovery process by developing research kits and providing technical and professional services.","Ambay Immune Sensors & Controls, LLC",,Healthcare,Technical Innovation Center,"Hagerstown, MD",www.ambaykit.com
Awarables,Out of Business,3,"Developer of a sleep analytic system designed to assess sleep quality and identify sleep disorders. The company's application combines physiologic signals captured by wearable microsensors and proprietary signal processing algorithms to provide reliable sleep quantity as well as quality metrics, enabling clinicians and consumers with real-time feedback for driving better behavioral outcomes.",Awarables Inc.,,Healthcare,300 West Pratt Street,"Baltimore, MD",www.awarables.com
CollectiveGood,,3,"Developer of a medical AI model testing and validation platform that utilizes a network of clinical experts and continuous testing. The platform incentivizes participants to provide real-world expert assessments of AI outputs at scale using behavioral economic expertise. CollectiveGood collaborates with global partners to research, develop, and deploy digital infrastructure to mobilize health resources and empower community-driven solutions to health challenges. Their focus is on scaling access to quality health services through digital platforms, with experience in crowdsourced disease surveillance and adaptable and scalable home-visiting platforms for community health workers in rural China.",,,Business Products and Services (B2B),,"Chapel Hill, NC",collectivegood.io
Custom Spray Solutions,Startup,3,"Provider of sprinkler head, measurement services and engineering design services for spraying system applications. The company offers SprayViz software to evaluate the dispersion and wetting performance of a spray system along with suppression sprays, hose streams, agricultural sprays, fire suppression and general sprays and specialty sprays with bleeding edge technology and spatially-resolved spray scanning system to characterize, visualize, and evaluate spray performance.","Custom Spray Solutions, Inc.",,Business Products and Services (B2B),800 Tanley Road,"Silver Spring, MD",www.customspraysolutions.com
Drizzle Health,Startup,3,"Developer of an infectious disease diagnostics tool designed to offer diagnostics for large-scale testing of diseases in the environment. The company offers real-time detection of bacteria in food and water, sample concentration for various volumes, and microbial testing for agricultural operations, enabling healthcare professionals and clients to detect infectious diseases faster, improve testing accuracy, reduce healthcare costs, and ensure food and water safety on-site.","Drizzle Health, LLC",,Healthcare,3107 Tilden Drive,"Baltimore, MD",www.drizzlehealth.com
Edulis Therapeutics,Startup,3,"Developer of a therapeutic delivery system designed to integrate with routine endoscopy visits for long-term symptom management. The system offers an extended therapeutic window, providing up to a year of maintenance-free symptom management, enabling healthcare providers to deliver sustained treatment with minimal patient intervention.",Edulis Therapeutics Inc.,,Healthcare,2310 Elliott Avenue,"Nashville, TN",www.edulis.xyz
Elipsys,Generating Revenue,3,"Developer of performance tracking tools designed to accelerate athlete performance by tracking technologies and AI with skill learning models. The company's platform offers various features such as testing, insight analysis, personalized profile, individual training tracker, and many more.",Elipsys LLC,,Information Technology,110 Burham Court,"Apex, NC",www.elipsystech.com
Gmork Tech,Generating Revenue,3,"Developer and provider of industrial automation and information systems and services designed to help clients unlock the potential of industrial networks. The company specializes in business automation and offers a range of solutions such as human-machine interfaces, programmable logic controllers, power supply units, industrial automation sensors, and information systems hardware, and also offers a solutions platform that monitors and controls industrial and manufacturing networks in real-time.",Gmork Tech LLC,,Information Technology,549 Summit Avenue,"Hagerstown, MD",www.gmork.tech
HerSecure,Generating Revenue,3,"Developer of a medical device designed to help women suffering from urinary incontinence. The company's external medical device has a pressure guard that helps prevent leakage before it starts, avoiding the need to mask any longer.","HerSecure, Inc",,Healthcare,,"Fort Lauderdale, FL",www.hersecurehealth.com
Ionic ST,,3,"Operator of live online fitness classes, offering virtual HIIT classes and mindset coaching to individuals seeking simplified fitness training, nutrition, and goal setting.",,,Business Products and Services (B2B),8100 Boteler Ln,"College Park, MD",ionicst.com
LICA-Tech,Out of Business,3,The company is currently operating in stealth mode.,,,Business Products and Services (B2B),,"Pittsburgh, PA",www.lica-tech.com
Microsphere Material Solutions,Startup,3,"Operator of a materials-focused tech transfer company intended to develop, mature, and commercialize early-stage to solve critical commercial and government problems. The company specializes in modeling, fabrication, and testing hollow microspheres and bulk foams from metals and silicate glasses, enabling the organization with leading-edge high-performance lightweight foam materials.",Microsphere Material Solutions LLC,,Materials and Resources,7226 Old Gate Road,"Rockville, MD",www.microspheresolutions.com
Nanochon,Clinical Trials - Phase 1,3,"Developer of medical devices and other technology intended to treat joint injuries and diseases. The company's devices replace lost and damaged cartilage and encourage new tissue growth, enabling medical practitioners to access cost-effective and on-demand devices that improve outcomes in young and active patients with knee damage.","Nanochon, Inc.",,Healthcare,7144 13th Place Northwest,"Washington, DC",www.nanochon.com
