company,companyPbId,dealPbId,dealDate,dealSize,dealSizeStatus,investors,dealType,dealSynopsis
Liatris,437457-07,177439-87T,29-Jul-2021,1.00,Actual,"Old Line Capital Partners (John Schveibinz), Propel(x), The University System of Maryland Momentum Fund (Claire Johnson)",Seed Round,"The company raised $1 million of seed funding in a deal led by The University System of Maryland Momentum Fund on July 29, 2021. Propel(x) and Old Line Capital Partners also participated in the round. The funds will be used to scale up pilot samples of the company's first product, a non-flammable insulation board."
Liatris,437457-07,190538-65T,18-Mar-2022,1.00,Actual,National Science Foundation,Grant,"The company received $1 million of grant funding from the National Science Foundation on March 18, 2022."
Liatris,437457-07,190538-83T,01-Oct-2021,1.60,Actual,U.S. Department of Energy,Grant,The company received $1.6 million of grant funding from U.S. Department of Energy in October 2021.
Liatris,437457-07,239272-39T,31-Dec-2021,1.66,Actual,U.S. Department of Energy,Grant,"The company received $1.66 million of grant funding from U.S. Department of Energy on December 31, 2021."
Liatris,437457-07,276892-57T,01-Jan-2023,,,Maryland Energy Innovation Accelerator,Accelerator/Incubator,The company joined Maryland Energy Innovation Accelerator in 2023.
LICA-Tech,531051-31,228451-96T,01-May-2023,,,National Science Foundation Innovation Corps Program,Accelerator/Incubator,The company joined the NSF I-Corps Spring 2023 Program in May 2023.
LICA-Tech,531051-31,277953-67T,18-Oct-2024,,,,Out of Business,"The company is no longer actively in business as of October 18, 2024."
LifeGene BioMarks,520595-02,215679-88T,29-Sep-2019,1.70,Actual,National Institute on Minority Health and Health Disparities,Grant,"The company received $1.7 million of grant funding from National Institute on Minority Health and Health Disparities on September 29, 2019."
LifeGene BioMarks,520595-02,215680-51T,01-Jan-2020,1.54,Actual,National Institute on Minority Health and Health Disparities,Grant,The company received $1.54 million of grant funding from National Institute on Minority Health and Health Disparities in 2020.
LifeGene BioMarks,520595-02,215680-69T,01-Jan-2021,2.40,Actual,"National Cancer Institute, National Institute on Minority Health and Health Disparities",Grant,The company received $2.4 million of grant funding from National Institute on Minority Health and Health Disparities and National Cancer Institute in 2021.
LifeGene BioMarks,520595-02,217755-82T,01-Jan-2019,,,Biohealth Innovation,Later Stage VC,The company raised an undisclosed amount of venture funding from Biohealth Innovation in 2019.
LifeGene BioMarks,520595-02,217757-08T,01-Jun-2022,1.00,Actual,U.S. Department of Health and Human Services,Grant,The company received $1 million of grant funding from U.S. Department of Health and Human Services in June 2022.
LifeGene BioMarks,520595-02,262778-23T,,,,Johns Hopkins Technology Ventures,Accelerator/Incubator,The company joined Johns Hopkins Technology Ventures on an undisclosed date. No equity or funding was exchanged as a result of this program.
Liquid-Charge,469994-77,186642-01T,25-Apr-2022,,,"IndieBio, SOSV (Po Bronson)",Seed Round,"The company raised an undisclosed amount of seed funding from SOSV and IndieBio on April 25, 2022 in the form of SAFE notes."
Liquid-Charge,469994-77,186643-18T,13-Jan-2022,0.53,Actual,IndieBio,Accelerator/Incubator,"The company joined IndieBio as part of San Francisco Batch 12 on January 13, 2022 and received $525,000 in funding. Concurrently, Genesis Consortium invested in the company."
Liquid-Charge,469994-77,260097-49T,,,,Greentown Labs,Accelerator/Incubator,The company joined Greentown Labs on an undisclosed date. No equity or funding was exchanged as a result of this program.
Liquid-Charge,469994-77,283835-44T,31-Jan-2025,,,,Out of Business,"The company is no longer actively in business as of January 31, 2025."
Living Canopies,170853-85,82867-33T,30-Jun-2016,0.05,Actual,National Science Foundation,Grant,"The company received a $50,000 I-Corps grant from the National Science Foundation on June 30, 2016."
Living Canopies,170853-85,120758-59T,17-Jun-2019,0.02,Actual,Bethesda Green,Accelerator/Incubator,"The company joined Bethesda Green as part of the Innovation Lab's Residency Program Summer 2019 Cohort on June 17, 2019 and received $15,000 of funding in the form of grant."
Living Canopies,170853-85,120760-66T,01-Jan-2019,,,Mentor Capital Network,Accelerator/Incubator,The company joined Mentor Capital Network as part of the 2019 Spring Cohort in 2019 and received an undisclosed amount in funding.
Living Canopies,170853-85,246618-28T,,0.02,Actual,UM Ventures,Later Stage VC,"The company raised $15,000 of venture funding from UM Ventures on an undisclosed date."
Living Canopies,170853-85,246618-37T,,0.27,Actual,TEDCO,Grant,"The company received $265,000 of grant funding from TEDCO on an undisclosed date."
Living Canopies,170853-85,246618-46T,,0.09,Actual,Maryland Industrial Partnerships,Grant,"The company received $90,000 of grant funding from Maryland Industrial Partnerships on an undisclosed date."
Living Canopies,170853-85,276890-77T,01-Jan-2022,,,Maryland Energy Innovation Accelerator,Accelerator/Incubator,The company joined Maryland Energy Innovation Accelerator in 2022. No equity or funding was exchanged as a result of this program.
Living Canopies,170853-85,286474-24T,01-Jan-2019,,,Mentor Capital Network,Accelerator/Incubator,The company joined Mentor Capital Network in 2019. No equity or funding was exchanged as a result of this program.
Loop (Automotive Insurance),458671-60,164856-97T,11-Jan-2021,3.25,Actual,"Backstage Capital, Blue Fog Capital (Harris Brody), Craig Lewis (Craig Lewis), Fontinalis Partners, Freestyle Capital (David Samuel), Gerard Adams (Gerard Adams), Growth Technology Partners, Joshua Dorkin (Joshua Dorkin), Kristen Dickey (Kristen Dickey), Songe LaRon (Songe LaRon), Steven Schlafman (Steven Schlafman), Uprising Ventures, Westbound Equity Partners",Seed Round,"The company raised $3.25 million through a combination of Seed 1 and Seed 2 funding in a deal led by Freestyle Capital on January 11, 2021, putting the company's pre-money valuation at $8.5 million. Blue Fog Capital, Concrete Rose Capital, Uprising Ventures, Backstage Capital, Fontinalis Partners, Growth Technology Partners, Kristen Dickey, Songe LaRon, Craig Lewis, Joshua Dorkin, Steven Schlafman and Gerard Adams also participated in the round. Of the total amount, $3 million was originally raised in the form of convertible debt and subsequently got converted into Series A equity."
Loop (Automotive Insurance),458671-60,180972-82T,30-Sep-2021,21.00,Actual,"01 Advisors (Adam Bain), AltaIR Capital, Blue Fog Capital, Capital Factory, Debut Capital, Foundry Group (Jaclyn Hester), Freestyle Capital (David Samuel), Nasir Jones (Nasir Jones), New Voices Fund, Third Sphere, Uprising Ventures, Westbound Equity Partners",Early Stage VC,"The company raised $21 million of Series A venture funding in a deal led by Foundry Group and 01 Advisors on September 30, 2021, putting the company's pre-money valuation at $61 million. Freestyle Capital, Blue Fog Capital, Concrete Rose Capital, Uprising Ventures, New Voices, Debut Capital, Third Sphere, AltaIR Capital, Capital Factory and Nasir Jones also participated in the round. The funds will be used to expand the company's coverage to an additional 10 states over the next 12 months."
Loop (Automotive Insurance),458671-60,219516-85T,01-Aug-2023,8.00,Estimated,"Chai Ventures NYC, non sibi ventures",Later Stage VC,"The company raised an estimated $8.00 million of Series A1 venture funding from non sibi ventures, Chai Ventures, and other undisclosed investors in August 2023, putting the company's pre-money valuation at $30 million."
Loop (Automotive Insurance),458671-60,228116-89T,,,,Urban-X,Accelerator/Incubator,The company joined Urban-X on an undisclosed date as a part of C04 and received funidng as seed.
Loop (Automotive Insurance),458671-60,267729-94T,01-Jan-2018,,,FinTech Innovation Lab,Accelerator/Incubator,The company joined FinTech Innovation Lab in 2018. No equity or funding was exchanged as a result of this program.
Luvozo Pbc,131021-02,125164-00T,01-Jul-2016,,,AccelerateDC,Accelerator/Incubator,The company graduated from AccelerateDC in July 2016.
Luvozo Pbc,131021-02,125164-99T,19-Apr-2017,,,Hacker Unit,Accelerator/Incubator,"The company joined Hacker Unit on April 19, 2017."
Luvozo Pbc,131021-02,125165-35T,01-May-2019,,,,Out of Business,"The company is no longer actively in business as of May 1, 2019."
Luvozo Pbc,131021-02,125166-07T,01-Jan-2016,0.15,Actual,Small Business Innovation Research and Small Business Technology Transfer Programs,Grant,"The company received $150,000 of grant funding from Small Business Innovation Research and Small Business Technology Transfer Programs under its America's Seed Fund program in 2016."
Magnify Biosciences,531077-50,228491-11T,01-May-2023,,,National Science Foundation Innovation Corps Program,Accelerator/Incubator,The company joined National Science Foundation Innovation Corps Program as part of its NSF I-Corps Spring 2023 Program in May 2023 and received an undisclosed amount of funding in the form of grant.
Magnify Biosciences,531077-50,249350-41T,15-Nov-2023,,,Innovation Works,Early Stage VC,"The company raised an undisclosed amount of venture funding from Innovation Works on November 15, 2023."
Magnify Biosciences,531077-50,249351-58T,06-Dec-2023,0.10,Actual,AlphaLab Health,Accelerator/Incubator,"The company joined AlphaLab Health as part of its Fourth Cohort on December 6, 2023 and received $100,000 of funding."
MARS Technology,590395-51,254795-05T,01-Jan-2021,,,Robert H. Smith School of Business,Accelerator/Incubator,The company joined Robert H. Smith School of Business as a part of its Terp Startup Accelerator 2021 cohort in 2021.
Materic,470768-59,224922-07T,01-May-2023,,,Abell Foundation,Early Stage VC,The company raised an undisclosed amount of venture funding from The Abell Foundation in May 2023.
Maxterial,125372-26,58760-74T,01-Sep-2015,0.35,Actual,Breakout Labs (Lindy Fishburne),Seed Round,"The company raised $350,000 of Seed-1 funding in a deal led by Breakout Labs on September 1, 2015, putting the company's pre-money valuation at $6 million."
Maxterial,125372-26,69428-53T,08-Nov-2015,0.74,Actual,National Science Foundation,Grant,"The company received $735,060 of grant funding from National Science Foundation on November 8, 2015."
Maxterial,125372-26,101297-08T,,,,Plug and Play Tech Center,Accelerator/Incubator,The company joined Plug and Play Tech Center on an undisclosed date.
Maxterial,125372-26,112251-34T,01-Jan-2018,1.88,Actual,National Science Foundation,Grant,The company received $1.88 million of grant funding from National Science Foundation in 2018.
Maxterial,125372-26,130419-64T,01-Oct-2020,1.77,Estimated,"Anglo American (LON: AAL), Chris Gil (Chris Gil), Dellin Investments, Eric Schmidt (Eric Schmidt), Keiretsu Forum, Peter Thiel (Peter Thiel), Pierre Omidyar (Pierre Omidyar), Saint-Gobain NOVA",Later Stage VC,"The company raised $1.77 million of venture funding from Saint-Gobain NOVA, Anglo American, and Dellin Investments on October 1, 2020, putting the company's pre-money valuation at $7.5 million. Peter Thiel, Pierre Omidyar, Eric Schmidt, Chris Gil, and Keiretsu Forum also participated in the round."
Maxterial,125372-26,138512-98T,01-Jan-2018,,,Shell GameChanger,Accelerator/Incubator,The company joined Shell GameChanger in 2018.
Maxterial,125372-26,221203-45T,01-Dec-2019,0.13,Actual,The Schmidt Family Foundation (Palo Alto),Grant,"The company received $130,000 of grant funding from The Schmidt Family Foundation in December 2019."
Maxterial,125372-26,221346-82T,22-Feb-2021,0.21,Actual,U.S. Department of Energy,Grant,"The company received $206,500 of grant funding from U.S. Department of Energy on February 22, 2021."
VisiSonics,103612-06,79059-25T,01-Jan-2014,0.89,Actual,National Science Foundation,Grant,"The company received $890,000 of grant funding from National Science Foundation on January 1, 2014."
VisiSonics,103612-06,160453-36T,01-Dec-2020,1.70,Actual,"The University System of Maryland Momentum Fund, University System of Maryland Foundation",Later Stage VC,"The company raised $1.7 million of series A venture funding from The University System of Maryland Momentum Fund and the University System of Maryland Foundation on December 1, 2020, putting the company's pre-money valuation at $10 million. The funds will be used to expand the use of the company's 3D sound technology in market areas including virtual reality, gaming, and entertainment."
VisiSonics,103612-06,180471-16T,01-Jan-2016,0.50,Actual,,Later Stage VC,"The company raised $500,000 of safe note funding from undisclosed investors on January 1, 2016, putting the company's pre-money valuation at $4.5 million."
VisiSonics,103612-06,180471-25T,01-Jan-2018,0.60,Actual,,Later Stage VC,"The company raised $600,000 of safe note funding from undisclosed investors on January 1, 2018, putting the company's pre-money valuation at $6.4 million."
VisiSonics,103612-06,244377-19T,01-Feb-2010,,,University of Maryland,University Spin-Out,"The company was spun out of University of Maryland on February 1, 2010."
VisiSonics,103612-06,283174-48T,,,,,Secondary Transaction - Private,University System of Maryland Foundation sold a stake in the company to an undisclosed buyer.
Vitalize Care,509636-53,205679-44T,01-Apr-2023,1.00,Actual,"10X Capital, Angels Capital, Anorak Ventures, Conscious Venture Partners, Dorm Room Fund, Everywhere Ventures, Gaingels, Novella Center for Entrepreneurship, Powerhouse Ventures, Rebel Fund, Rock Health Capital, StartUp Health, Telosity, What If Ventures, Wisdom Ventures, Y Combinator",Seed Round,"The company raised $1 million of seed funding from Rebel Fund, What If Ventures and Wisdom Ventures on April 1, 2023. Anorak Ventures, 10X Capital, Conscious Venture Partners, Gaingels, Rock Health Capital, Telosity, StartUp Health, Dorm Room Fund, Everywhere Ventures, Powerhouse Ventures, Novella Center for Entrepreneurship, Y Combinator and Angels Capital also participated in the round."
Vitalize Care,509636-53,254134-36T,01-Jan-2023,0.50,Actual,Y Combinator,Accelerator/Incubator,"The company joined Y Combinator in January 2023 and received $500,000 in funding. The funding was initially raised in the form of SAFE notes and subsequently got converted in to equity."
Vitalize Care,509636-53,254135-89T,01-Jan-2020,0.01,Actual,TERP Startup Laboratory,Accelerator/Incubator,"The company joined TERP Startup Laboratory in 2020 and received $5,000 in funding in the form of grant."
Vitalize Care,509636-53,254135-98T,,,,Accelerate Cambridge,Accelerator/Incubator,The company joined Accelerate Cambridge on an undisclosed date. No equity or funding was exchanged as a result of this program.
Vitalize Care,509636-53,274631-14T,01-Oct-2024,,,MemorialCare Innovation Fund,Early Stage VC,The company raised an undisclosed amount of venture funding from MemorialCare Innovation Fund in approximately October 2024.
Vitalize Care,509636-53,288317-53T,,,,Startup Shell,Accelerator/Incubator,The company joined Startup Shell on an undisclosed date. No equity or funding was exchanged as a result of this program.
Vortex Space Systems,550438-66,248639-86T,01-Jan-2023,,,National Science Foundation,Accelerator/Incubator,"The company joined National Science Foundation as a part of NSF SBIR Bootcamp Summer 2023 Cohort on January 1, 2023."
Walktime Books,532886-14,232913-98T,,0.01,Actual,,Product Crowdfunding,"The company has raised 7,848 of product crowdfunding as of 08 23, 2023."
Weinberg Medical Physics,152964-82,65757-79T,01-Jan-2015,0.10,Actual,National Science Foundation,Grant,"The company received $99,619 of grant funding from National Science Foundation in January 2015."
Weinberg Medical Physics,152964-82,65758-06T,01-Jan-2014,0.95,Actual,National Science Foundation,Grant,"The company received $954,913 of grant funding fro National Science Foundation in 2014."
Weinberg Medical Physics,152964-82,65758-15T,22-Jul-2013,2.63,Actual,"National Science Foundation, TEDCO",Grant,"The company received $2.63 million of grant funding from TEDCO and National Science Foundation on July 22, 2013."
Weinberg Medical Physics,152964-82,65758-51T,01-Jan-2012,0.49,Actual,National Science Foundation,Grant,"The company received $489,997 of grant funding from National Science Foundation in 2012."
Weinberg Medical Physics,152964-82,65758-69T,01-Jan-2011,4.46,Actual,National Science Foundation,Grant,The company received $4.45 million of grant funding from National Science Foundation in 2011.
Weinberg Medical Physics,152964-82,65759-23T,01-Jan-2010,0.77,Actual,National Science Foundation,Grant,The company received $766114 of grant funding from National Science Foundation in 2010.
Weinberg Medical Physics,152964-82,65759-41T,01-Jan-2009,0.37,Actual,National Science Foundation,Grant,"The company received $366,333 of grant funding from National Science Foundation in 2009."
Weinberg Medical Physics,152964-82,65759-59T,01-Jan-2008,2.75,Actual,National Science Foundation,Grant,The company received $2.74 million of grant funding from National Science Foundation in 2008.
Weinberg Medical Physics,152964-82,65759-68T,01-Jan-2007,0.36,Actual,National Science Foundation,Grant,"The company received $362,070 of grant funding from National Science Foundation in 2007."
Weinberg Medical Physics,152964-82,81794-44T,01-Jan-2016,1.29,Actual,"National Institute of Standards and Technology, National Institutes of Neurological Disorders and Stroke",Grant,The company received $1.29 million of grant funding from National Institute of Standards and Technology and National institutes of Neurological Disorders and Stroke in 2016.
Weinberg Medical Physics,152964-82,81795-34T,18-Jan-2017,1.31,Actual,,Later Stage VC,"The company raised $1.30 million of venture funding from an undisclosed investor on January 18, 2017."
Weinberg Medical Physics,152964-82,203898-88T,15-Sep-2019,0.61,Actual,National Institutes of Health,Grant,"The company received $610,649 of grant funding from National Institutes of Health on September 15, 2019."
Weinberg Medical Physics,152964-82,209656-54T,01-Jan-2020,1.46,Actual,The National Institute on Aging (NIA),Grant,The company received $1.46 million of grant funding from The National Institute on Aging (NIA) in 2020.
Weinberg Medical Physics,152964-82,235817-92T,31-Dec-2015,0.10,Actual,U.S. Department of Commerce,Grant,"The company received $100,000 of grant funding from the Department Of Commerce in 2015."
Weinberg Medical Physics,152964-82,236473-84T,31-Dec-2016,0.30,Actual,U.S. Department of Commerce,Grant,"The company received $300,000 of grant funding from the Department Of Commerce in 2016."
X-Wave Innovations,449334-73,220735-81T,01-Jan-2013,1.04,Actual,"National Aeronautics and Space Administration, National Institute of Standards and Technology, U.S. Department of Commerce (Alejandra Castillo), U.S. Navy, United States Air Force, United States Department of Defense",Grant,"The company received $1.04 million of grant funding from United States Department of Defense, National Aeronautics and Space Administration and U.S. Department of Commerce approximately in 2013. National Institute of Standards and Technology, U.S. Navy and United States Air Force also participated in the round."
X-Wave Innovations,449334-73,220743-28T,01-Jan-2014,1.20,Actual,"Missile Defense Agency/Air Force, U.S. Navy, United States Department of Defense",Grant,"The company received $1.20 million of grant funding from United States Department of Defense, U.S. Navy and Missile Defense Agency/Air Force approximately in 2014."
X-Wave Innovations,449334-73,220744-27T,01-Jan-2015,1.04,Actual,"United States Air Force, United States Department of Defense",Grant,The company received $1.04 million of grant funding from United States Department of Defense and United States Air Force approximately in 2015.
X-Wave Innovations,449334-73,220744-81T,01-Jan-2015,1.35,Actual,"Missile Defense Agency/Air Force, National Aeronautics and Space Administration, U.S. Department of Energy, U.S. Navy, United States Department of Defense",Grant,"The company received $1.35 million of grant funding from United States Department of Defense, National Aeronautics and Space Administration and U.S. Navy approximately in 2015. Missile Defense Agency/Air Force and U.S. Department of Energy also participated in the round."
X-Wave Innovations,449334-73,220745-44T,01-Jan-2016,0.63,Actual,"National Aeronautics and Space Administration, U.S. Navy, United States Air Force, United States Department of Defense",Grant,"The company received $629,447 of grant funding from United States Department of Defense, National Aeronautics and Space Administration and U.S. Navy approximately in 2016. United States Air Force also participated in the round."
X-Wave Innovations,449334-73,220745-89T,01-Jan-2016,1.01,Actual,U.S. Department of Energy,Grant,The company received $1.01 million of grant funding from U.S. Department of Energy approximately in 2016.
X-Wave Innovations,449334-73,220746-34T,01-Jan-2017,1.17,Actual,"National Aeronautics and Space Administration, U.S. Navy, United States Air Force, United States Army, United States Department of Defense",Grant,"The company received $1.17 million of grant funding from United States Department of Defense, National Aeronautics and Space Administration and U.S. Navy approximately in 2017. United States Air Force and United States Army also participated in the round."
X-Wave Innovations,449334-73,220747-33T,01-Jan-2017,1.15,Actual,"National Aeronautics and Space Administration, United States Air Force, United States Department of Defense",Grant,"The company received $1.15 million of grant funding from United States Department of Defense, National Aeronautics and Space Administration and United States Air Force approximately in 2017."
X-Wave Innovations,449334-73,220747-96T,01-Jan-2018,1.12,Actual,"Defense Logistics Agency (Land and Maritime), National Aeronautics and Space Administration, National Institute of Standards and Technology, U.S. Department of Commerce, U.S. Department of Energy, United States Department of Defense",Grant,"The company received $1.12 million of grant funding from United States Department of Defense, National Aeronautics and Space Administration and U.S. Department of Commerce approximately in 2018. National Institute of Standards and Technology, U.S. Department of Energy and Defense Logistics Agency (Land and Maritime) also participated in the round."
X-Wave Innovations,449334-73,220748-23T,01-Jan-2019,1.75,Actual,National Aeronautics and Space Administration,Grant,The company received $1.75 million of grant funding from National Aeronautics and Space Administration approximately in 2019.
X-Wave Innovations,449334-73,220748-50T,01-Jan-2019,1.15,Actual,U.S. Department of Energy,Grant,The company received $1.15 million of grant funding from U.S. Department of Energy approximately in 2019.
X-Wave Innovations,449334-73,220748-95T,01-Jan-2020,0.96,Actual,"U.S. Department of Energy, United States Air Force, United States Department of Defense",Grant,"The company received $962,998 of grant funding from United States Department of Defense, United States Air Force and U.S. Department of Energy apprimately in2020."
X-Wave Innovations,449334-73,220749-49T,01-Jan-2020,1.25,Actual,"National Aeronautics and Space Administration, U.S. Navy, United States Army, United States Department of Defense",Grant,"The company received $1.25 million of grant funding from United States Department of Defense, National Aeronautics and Space Administration and U.S. Navy apprimately in 2020. United States Army also participated in the round."
X-Wave Innovations,449334-73,220750-39T,01-Jan-2020,1.15,Actual,U.S. Department of Energy,Grant,The company received $1.15 million of grant funding from U.S. Department of Energy approximately in 2020.
X-Wave Innovations,449334-73,220751-29T,01-Jan-2021,0.49,Actual,"National Aeronautics and Space Administration, U.S. Department of Energy, United States Air Force, United States Army, United States Department of Defense",Grant,"The company received $492,996 of grant funding from United States Department of Defense, National Aeronautics and Space Administration and United States Air Force approximately in 2021. U.S. Department of Energy and United States Army also participated in the round."
X-Wave Innovations,449334-73,220752-19T,01-Jan-2021,1.15,Actual,U.S. Department of Energy,Grant,The company received $1.15 million of grant funding from U.S. Department of Energy approximately in 2021.
X-Wave Innovations,449334-73,220752-55T,01-Jan-2022,0.75,Actual,"National Aeronautics and Space Administration, U.S. Department of Energy, U.S. Navy, United States Army, United States Department of Defense",Grant,"The company received $746,481 of grant funding from United States Department of Defense, National Aeronautics and Space Administration and U.S. Navy approximately in U.S. Department of Energy and United States Army also participated in the round."
X-Wave Innovations,449334-73,220752-82T,01-Jan-2022,1.15,Actual,U.S. Department of Energy,Grant,The company received $1.15 million of grant funding from U.S. Department of Energy approximately in 2022.
X-Wave Innovations,449334-73,220753-18T,01-Jan-2022,0.83,Actual,U.S. Department of Energy,Grant,"The company received $826,000 of grant funding from U.S. Department of Energy approximately in 2022."
X-Wave Innovations,449334-73,239332-33T,31-Dec-2021,4.07,Actual,U.S. Department of Energy,Grant,"The company received 3 grants totalling $4,070,000 in funding from the Department Of Energy in 2021."
X-Wave Innovations,449334-73,239332-51T,31-Dec-2019,2.52,Actual,U.S. Department of Energy,Grant,"The company received 2 grants totalling $2,520,000 in funding from the Department Of Energy in 2019."
X-Wave Innovations,449334-73,240568-93T,31-Dec-2017,0.41,Actual,"U.S. Department of Commerce, U.S. Department of Energy",Grant,"The company received 3 grants totalling $410,000 in funding from the Department Of Commerce, and the Department Of Energy in 2017."
Xeddy,551284-84,267504-76T,30-Mar-2023,,,Maryland Smith Blockchain Accelerator,Accelerator/Incubator,"The company joined Maryland Smith Blockchain Accelerator and received an undisclosed amount as grant on March 30, 2023. No equity or funding was exchanged as a result of this program."
Xeddy,551284-84,268686-28T,10-Mar-2023,,,The Universities at Shady Grove,Grant,"The company received an undisclosed amount of grant funding from The Universities at Shady Grove on March 10, 2023."
Xeddy,551284-84,268686-64T,08-Mar-2024,,,Maryland Smith Blockchain Accelerator,Accelerator/Incubator,"The company joined Maryland Smith Blockchain Accelerator and received an undisclosed amount as grant on March 8, 2024."
Xopolis,226449-19,251847-46T,01-Jan-2019,0.21,Actual,National Science Foundation,Grant,"The company received $214,218 of grant funding from National Science Foundation on January 1, 2019."
Yard Mapper,224463-07,101541-70T,,0.05,Actual,National Science Foundation,Grant,"The company received a $50,000 I-Corps grant from National Science Foundation on an undisclosed date."
Maxterial,125372-26,223652-71T,,,,TiE Oregon,Accelerator/Incubator,The company joined TiE Oregon as a part of its TiE Oregon Angels Program on an undisclosed date.
Maxterial,125372-26,235525-87T,31-Dec-2021,0.21,Actual,U.S. Department of Energy,Grant,"The company received $210,000 of grant funding from the Department Of Energy in 2021."
Maxterial,125372-26,264521-44T,20-Jun-2024,7.80,Actual,"Accelerator Venture Partners, Anthropocene Ventures, Beck Kloss (Beck Kloss), Climate Capital, Grimley Capital, Helios Climate Ventures, Ideaship, Keiretsu Forum, Little Green Bamboo Capital, Mott, Qemetica Ventures, Sebastian Kulczyk, VertueLab",Later Stage VC,"The company raised $7.80 million of Series A venture funding in a deal led by Helios Climate Ventures on June 20, 2024, putting the company's pre-money valuation at $17.20 million. Qemetica Ventures, Mott, Accelerator Venture Partners, Climate Capital, Grimley Capital, Keiretsu Forum, Anthropocene Ventures, Ideaship, Little Green Bamboo Capital, Beck Kloss, Sebastian Kulczyk and VertueLab also participated in the round. The funds will be used by the company to accelerate its R&D efforts, including large-scale testing, expand its products, and scale operations in North America and Europe."
Maxterial,125372-26,271756-36T,01-May-2023,10.00,Actual,SMS Industrial Services,Later Stage VC,"The company raised $10 million of venture funding from SMS Industrial Services and other undisclosed investors on May 1, 2023."
MF Fire,163981-81,74253-16T,15-Apr-2014,0.03,Actual,"Massachusetts Institute of Technology Endowment, MIT Climate & Energy Prize",Grant,"The company received $25,000 of grant funding from Massachusetts Institute of Technology on April 15, 2014. MIT Climate & Energy Prize also participated in the round."
MF Fire,163981-81,80263-99T,23-Dec-2016,0.28,Actual,"Abell Foundation (Eileen O'Rourke), Brennan Hay (Brennan Hay), Carlos Salas (Carlos Salas), Gaurav Sood (Gaurav Sood), Kevin Huynh (Kevin Huynh), Mark Mehrespand (Mark Mehrespand), Mike Williams (Mike Williams), Scott Kaplan (Scott Kaplan), TEDCO",Seed Round,"The company raised $285,000 of seed funding from TEDCO, The Abell Foundation and Brennan Hay on December 23, 2016, putting the company's pre-money valuation at $5 million. Carlos Salas, Mark Mehrespand, Gaurav Sood, Mike Williams (Angel), Scott Kaplan, Kevin Huynh and other undisclosed investors also participated in the round."
MF Fire,163981-81,97239-97T,09-Nov-2017,1.20,Actual,"Baltimore Angels, Bill Clark (Bill Clark), The University System of Maryland Momentum Fund, University System of Maryland Foundation",Seed Round,"The company raised $1.2 million of venture funding from Bill Clarke, Baltimore Angels and University System of Maryland Foundation on November 9, 2017, putting the company's pre-money valuation at $3.79 million. Other undisclosed investors also participated in the round. The University System of Maryland Momentum Fund co-invested."
MF Fire,163981-81,137934-10T,15-Aug-2016,0.17,Actual,,Equity Crowdfunding,"The company raised $171,800 of equity crowdfunding from undisclosed investors via SeedInvest on August 15, 2016, putting the company's pre-money valuation at $3.26 million. The amount was originally raised in the form of convertible debt and subsequently converted to equity."
MF Fire,163981-81,137934-73T,04-Oct-2019,2.00,Actual,U.S. Office of Energy Efficiency and Renewable Energy,Grant,"The company received $2 million of grant funding from U.S. Office of Energy Efficiency and Renewable Energy on October 4, 2019. The funding will enable the company to develop new technologies to enable cleaner-burning wood stoves."
MF Fire,163981-81,155498-32T,01-May-2021,0.53,Actual,,Equity Crowdfunding,"The company raised $534,360 of equity crowdfunding via StartEngine in May 2021, putting the company's pre-money valuation at $ 12.165 million."
MF Fire,163981-81,165455-11T,31-Jan-2020,1.60,Estimated,,Seed Round,"The company raised an estimated $1.6 million of Series 2 seed funding from undisclosed investors on January 31, 2020, putting the company's pre-money valuation at $8 million."
MF Fire,163981-81,236496-34T,31-Dec-2021,1.99,Actual,U.S. Department of Energy,Grant,The company received $1.99 million of grant funding from U.S. Department of Energy in 2021.
MF Fire,163981-81,247153-33T,07-Mar-2024,0.20,Actual,,Equity Crowdfunding,"The company raised $201,385 of equity crowdfunding via StartEngine on March 7, 2024."
Microsphere Material Solutions,506861-20,202957-21T,01-Jan-2020,1.15,Actual,United States Department of Defense,Grant,"The company received $1.15 million of grant funding from United States Department of Defense on January 1, 2020."
Microsphere Material Solutions,506861-20,268436-26T,,,,MTech Ventures,Accelerator/Incubator,The company joined MTech Ventures on an undisclosed date.
MileMarker,265691-08,116806-06T,15-Dec-2017,0.03,Actual,Johns Hopkins Technology Ventures,Accelerator/Incubator,"The company joined Fast Forward at Johns Hopkins University's M-1 Ventures Cohort Program on December 15, 2017 and received $25,000 in funding."
MileMarker,265691-08,116806-15T,01-Jan-2013,,,Johns Hopkins Medicine,Grant,The company received an undisclosed amount of grant funding from Johns Hopkins Medicine in 2013.
MileMarker,265691-08,116806-33T,01-Jan-2014,,,Johns Hopkins Medicine,Grant,The company received an undisclosed amount of grant funding from Johns Hopkins Medicine in 2014.
MileMarker,265691-08,116806-51T,11-Dec-2017,,,FounderTrac (Ryan Sears),Accelerator/Incubator,"The company joined FounderTrac as a part of First Cohort on December 11, 2017."
MileMarker,265691-08,116806-87T,03-Apr-2018,0.03,Actual,"Conscious Venture Partners, MCVC Partners",Early Stage VC,"The company raised $25,000 of venture funding from MCVC Partners and Conscious Venture Partners on April 3, 2018."
MileMarker,265691-08,116807-41T,03-Dec-2018,0.05,Actual,TEDCO,Accelerator/Incubator,"The company joined TEDCO as part of its Builder Fund Program on December 3, 2018 and received $50,000 in funding."
